episode,step,reward,success,final_distance
1,250,-189.30564651642433,0,0.6236875218000835
2,500,-155.47017352822974,0,0.5740379853937905
3,750,-115.19955220611317,0,0.2985376113861861
4,977,-132.33705533154213,1,0.04938049404503718
5,1227,-181.74961286507036,0,0.2510536996566348
6,1477,-152.28047520005367,0,0.4380256627172712
7,1727,-117.7276116049083,0,0.2706832878866195
8,1977,-154.30648941966678,0,0.5234571006579805
9,2227,-150.0403057846445,0,0.2912454604684093
10,2297,-31.03572908674893,1,0.045850007381940255
11,2547,-192.72350310240418,0,0.18726820183246012
12,2797,-211.47391802354107,0,0.6755623996390165
13,2863,-30.302497854652998,1,0.02967642951517454
14,3009,-98.53332501748561,1,0.03793548653352182
15,3259,-93.37258209676624,0,0.034171622444432906
16,3313,-35.55618996202887,1,0.04613661166704044
17,3563,-186.65107296280087,0,0.40043334228210375
18,3813,-141.69022481740126,0,0.2838349016868391
19,3922,-99.65870189644707,1,0.028726199552330186
20,4172,-107.46355023420583,0,0.14579384457823918
21,4422,-205.1329305550829,0,0.5219781308310923
22,4672,-198.85323286291785,0,0.614664453527162
23,4922,-256.1751720579879,0,0.8483269887758318
24,5172,-188.4201419727053,0,0.1067567900541594
25,5422,-226.2744320295279,0,0.490513411481131
26,5672,-58.989685562034474,0,0.10452893604814131
27,5922,-308.5653313778705,0,0.8616731611000538
28,5996,-63.75162017653358,1,0.017817846307030063
29,6246,-180.50533022423647,0,0.10290620490380091
30,6496,-180.23415663650175,0,0.1225822164603377
31,6746,-169.55333191508748,0,0.3178406221929196
32,6996,-241.93384986076273,0,0.8198855642604428
33,7246,-209.14054860087825,0,0.19907064156759277
34,7496,-171.851500899322,0,0.390864550792559
35,7746,-152.7426319055518,0,0.2561559399302505
36,7996,-252.882203115687,0,0.4843375643096604
37,8246,-70.21557870794273,0,0.08897587144949866
38,8496,-89.21778193792653,0,0.17114860621402517
39,8746,-305.758177812802,0,0.5917286190711561
40,8996,-189.3698724383063,0,0.38095177112875084
41,9165,-101.75974390207458,1,0.048928900081152464
42,9415,-178.47765974569447,0,0.42751227138743925
43,9470,-51.904850953193574,1,0.008680204653473165
44,9594,-117.28053805648895,1,0.042440509851257774
45,9844,-182.5642439407896,0,0.14964813332255522
46,10094,-290.4277887500092,0,0.7536953231097892
47,10344,-116.02796762498907,0,0.16424669910567807
48,10594,-211.49625074186108,0,0.3753856544320065
49,10844,-157.93895711584193,0,0.1933551915118555
50,11094,-109.99821000936112,0,0.12594399075375273
51,11344,-164.41284334659727,0,0.27188850947170345
52,11594,-183.79636199235873,0,0.43381267906885224
53,11844,-92.7323089220286,0,0.16553778493162322
54,12094,-153.68507721194285,0,0.17475922287160786
55,12344,-111.0185983874391,0,0.1275635066521959
56,12594,-105.96688551163658,0,0.10829189228662822
57,12844,-257.0578851002476,0,0.5481885933218293
58,13094,-125.09990023495693,0,0.06625042267560809
59,13344,-225.90035567660698,0,0.8019648688483452
60,13417,-73.29237624440884,1,0.012347160689944956
61,13667,-210.9959463733271,0,0.5999215811140018
62,13917,-142.3087794964317,0,0.3642730719775205
63,14167,-86.06007504794428,0,0.17876700541095922
64,14417,-111.74711202191243,0,0.14036951433470046
65,14475,-55.922638290874005,1,0.04804290479102118
66,14619,-136.18552216918772,1,0.04849968586165826
67,14869,-127.7040478494024,0,0.32826570151136486
68,14901,-9.346251942124292,1,0.019749034140931078
69,15151,-168.31558390773796,0,0.5612782060238506
70,15401,-84.79571303570388,0,0.18698117728761315
71,15651,-98.38490484812372,0,0.2363679173387087
72,15901,-176.35712391157355,0,0.5576926810054706
73,16057,-75.89191407961167,1,0.04326160369312307
74,16307,-116.54049074481235,0,0.28964102860241975
75,16557,-92.2626847208081,0,0.16187131870613256
76,16807,-188.16428304603352,0,0.5314466132441503
77,17057,-272.65272825992145,0,0.2594124690396623
78,17307,-133.72341786035685,0,0.06677741402026023
79,17557,-114.9534380841261,0,0.16880998263412908
80,17807,-150.11234842933996,0,0.11380909914706736
81,18057,-62.72801842973626,0,0.06907343847267157
82,18307,-103.54428910385573,0,0.12845430113118808
83,18468,-157.55999943738658,1,0.04958330273541005
84,18718,-126.05100052455548,0,0.38585496909247374
85,18968,-153.57644812101086,0,0.12047252242365045
86,19218,-109.97262922963576,0,0.23748429502866386
87,19468,-121.83702849738374,0,0.2637817186963505
88,19718,-175.06030857693165,0,0.576206474236746
89,19968,-131.809635060736,0,0.2354871547460002
90,20218,-100.71233141455893,0,0.09543504615351228
91,20468,-181.16660359929915,0,0.1538703415521524
92,20718,-113.87021044619739,0,0.18623394624205591
93,20968,-210.4072649188211,0,0.5186321923515628
94,21218,-50.963292094869516,0,0.19370789145101794
95,21468,-82.27825100949778,0,0.07199922584333249
96,21718,-142.91237493215664,0,0.07861123731478464
97,21968,-94.06810810428803,0,0.18868175923713637
98,22218,-97.13166442245499,0,0.1985762646398468
99,22468,-239.0051865453354,0,0.3456949523397269
100,22718,-185.38506318082452,0,0.5926207441186658
101,22968,-75.46490846051174,0,0.12753001140973072
102,23218,-122.49241782529344,0,0.13389202360050823
103,23468,-55.424848813119674,0,0.12781201887013696
104,23718,-111.49174283747882,0,0.23428387427518543
105,23968,-65.24634569371794,0,0.15161338504141794
106,24056,-104.4445255920043,1,0.04654865197895968
107,24306,-91.32884203675695,0,0.14820239876872254
108,24373,-51.117617370650024,1,0.0471351140252371
109,24623,-132.6169262698741,0,0.30892872763930146
110,24740,-77.40198095093623,1,0.04958395374859062
111,24990,-105.48570106495418,0,0.0913660923655325
112,25240,-113.61303774453229,0,0.3722563448404053
113,25490,-98.15013104450897,0,0.2779471666067854
114,25740,-124.31687734151349,0,0.1215868895161582
115,25990,-110.03030944525705,0,0.09466491161092734
116,26067,-76.93659025467802,1,0.04738243738376255
117,26317,-82.33842040341287,0,0.1449323415149931
118,26384,-76.14950696598976,1,0.04080467714925108
