episode,step,safety_infeasible,command_attempts,safety_certified_steps,safety_intervention_steps,safety_correction_sum,safety_correction_max
1,250,0,250,250,127,482.4345655636676,10.49251634944736
2,500,0,250,250,75,226.72179345863938,12.549226004822668
3,750,0,250,250,47,124.92832033562478,8.786589977026912
4,841,0,91,91,52,682.8833235432988,35.93873220308262
5,1091,0,250,250,21,418.65041079793497,32.78312850570124
6,1149,0,58,58,21,398.97314779975875,31.538700352290125
7,1254,0,105,105,24,313.09269829572577,30.18454805431139
8,1504,0,250,250,104,810.0777566716607,32.187454509250884
9,1754,0,250,250,27,132.5331486408925,15.956872230071928
10,2004,0,250,250,30,437.0165719802169,31.15019937765116
11,2078,1,74,73,73,1263.1157463700915,28.331296903128592
12,2328,0,250,250,143,576.6322985220679,12.522900464765799
13,2578,0,250,250,21,30.65816517836395,6.522890428728569
14,2635,0,57,57,9,27.579427106333576,7.746675878233519
15,2885,0,250,250,239,3289.9562767787925,72.45370315062782
16,3135,0,250,250,129,508.459529619325,9.29043416717803
17,3252,0,117,117,20,340.45985831466334,32.512754204522835
18,3502,0,250,250,124,547.0443829483822,23.047017094168933
19,3752,0,250,250,24,291.43912742341007,28.075904150541845
20,4002,0,250,250,15,93.3491933718445,13.13017246875831
21,4156,0,154,154,18,62.520207237681646,7.208404664335947
22,4406,0,250,250,116,326.06670578340425,6.501160605159302
23,4501,1,95,94,93,1893.1919204966464,31.36048539819335
24,4596,1,95,94,94,1966.8752767355513,31.557612941721
25,4846,0,250,250,103,399.01256815968736,16.941569805105825
26,5096,0,250,250,65,477.3352022182865,21.10661471274581
27,5346,0,250,250,89,1909.8340549527918,30.957055005997915
28,5596,0,250,250,25,241.51522041329386,20.450882098303726
29,5846,0,250,250,139,731.3985539012307,31.386909245691964
30,6096,0,250,250,107,753.3819309256161,28.462421526421753
31,6346,0,250,250,103,470.1397555277889,11.35449167880133
32,6596,0,250,250,42,674.02403644484,29.61294887364475
33,6846,0,250,250,154,978.7637729268364,28.8263026946069
34,7096,0,250,250,103,681.907708910236,20.955375450147848
35,7346,0,250,250,65,683.0090622428812,33.973761081049936
36,7596,0,250,250,63,495.7182407007313,28.82247259518274
37,7846,0,250,250,13,64.82816632936266,8.19691378409136
38,8096,0,250,250,43,198.4019565882482,15.771482927188831
39,8346,0,250,250,57,1001.7237619918532,32.69872446788606
40,8596,0,250,250,30,759.5260774579829,35.48276515685944
41,8846,0,250,250,107,678.6289746471452,34.70255533616269
42,9096,0,250,250,51,189.40289357823752,10.646642250999157
43,9346,0,250,250,48,648.4337161667115,34.85162734312964
44,9596,0,250,250,165,901.0309980907172,15.866885603540913
45,9846,0,250,250,57,1113.9699471282668,32.181471315851915
46,10096,0,250,250,44,853.3897948327453,34.08865283494022
47,10346,0,250,250,72,1520.8038033055982,33.4465911957331
48,10596,0,250,250,42,670.3830020971822,30.359200868067
49,10846,0,250,250,234,1353.2303967411654,16.027727348632585
50,11096,0,250,250,62,1143.8804668245748,34.4495846214084
51,11346,0,250,250,248,4059.840220362521,36.43458088465086
52,11596,0,250,250,63,183.85482424782995,7.959689974608094
53,11646,0,50,50,15,115.68725867105147,11.111203747325758
54,11896,0,250,250,162,1171.3250075630854,33.80992264751342
55,12146,0,250,250,79,517.0527301157066,14.989202166229873
56,12396,0,250,250,60,575.263821091951,30.5369541204467
57,12646,0,250,250,94,569.1958188906628,16.838485206179616
58,12896,0,250,250,17,361.6106519573729,33.59036971262203
59,13146,0,250,250,82,191.02211872515733,9.216744704045825
60,13253,0,107,107,49,233.94703026017353,14.125103823808828
61,13503,0,250,250,95,338.5438645701158,8.28032877491525
62,13753,0,250,250,51,110.5909234702014,6.194221496582031
63,14003,0,250,250,195,1102.3290450313127,8.416764550114086
64,14253,0,250,250,40,96.83271791955372,8.77267151620503
65,14503,0,250,250,13,302.7787072571072,34.73436293958361
66,14753,0,250,250,39,1020.4493499328714,34.06563773621164
67,15003,0,250,250,19,61.90828167025352,8.606212785691476
68,15135,0,132,132,7,23.41851781966754,6.894093750196989
69,15385,0,250,250,26,155.36195337801234,10.500283673919949
70,15635,0,250,250,15,78.67825738993537,7.182606483887558
71,15885,0,250,250,15,29.394641013366172,4.909543376718021
72,16135,0,250,250,35,138.24983597781235,9.187964401481288
73,16207,0,72,72,15,249.13047442036435,26.914083656072002
74,16457,0,250,250,13,45.11872508315981,8.130454430865273
75,16707,0,250,250,14,16.10816860223814,1.9239585805515862
76,16957,0,250,250,50,144.40077819444613,6.230324474590432
77,17054,0,97,97,69,464.0077074263691,14.9851722570739
78,17072,1,18,17,17,358.39490776028805,40.640114958211484
79,17322,0,250,250,31,109.84065290305281,10.916592649804041
80,17572,0,250,250,31,696.8331325945759,31.98946514140407
81,17822,0,250,250,13,130.06262489208478,15.669497104496964
82,18072,0,250,250,78,885.7534217257272,20.450196410524065
83,18322,0,250,250,30,530.734102820028,26.81584578860819
84,18572,0,250,250,244,1800.7787202250777,9.4394961032353
85,18822,0,250,250,77,1374.9619269348536,32.352799510762324
86,19072,0,250,250,34,142.61521553544472,9.987513418907657
87,19322,0,250,250,53,248.85562214820635,7.451156139373779
88,19572,0,250,250,39,655.5031492681076,36.363575497002515
89,19822,0,250,250,56,393.48795065143446,26.958080372271912
90,19951,0,129,129,50,680.7790164308115,27.304865175962142
91,20201,0,250,250,218,675.7255003368456,23.139592958266512
92,20303,0,102,102,46,332.3405081409162,29.657058196553077
93,20553,0,250,250,28,183.34831162547178,19.85553145663088
94,20803,0,250,250,0,0.0,0.0
95,20884,0,81,81,27,313.646777214,20.09850095763021
96,21091,0,207,207,26,466.40901901539837,29.753214893598848
97,21341,0,250,250,12,225.35963033433512,28.20457953858676
98,21591,0,250,250,30,169.41952676027563,8.661930619797806
99,21760,0,169,169,49,623.133401188101,29.19187889714651
100,22010,0,250,250,155,475.96324635064565,6.940400951029471
101,22260,0,250,250,12,39.119636448770166,9.52008716401623
102,22510,0,250,250,238,4621.223048723722,31.43119989648573
103,22760,0,250,250,11,19.283809133118236,4.87321277947029
104,23010,0,250,250,49,128.66898960533254,5.602125978313711
105,23260,0,250,250,3,19.135441303253174,7.7181925773620605
106,23510,0,250,250,92,831.4923219698005,26.497153266025727
107,23760,0,250,250,11,76.94509474157412,13.882757246434702
108,23827,0,67,67,21,411.3217184376454,29.273475430023456
109,24077,0,250,250,41,144.15543187397637,19.479325808342097
110,24327,0,250,250,60,952.1935843216186,31.63418721689105
111,24577,0,250,250,16,273.43055452494,29.389913762392098
112,24827,0,250,250,9,56.32190292991125,12.642612311316958
113,25077,0,250,250,9,20.354522499315816,6.434663772583008
114,25327,0,250,250,34,294.43677931436906,28.92012967335947
115,25577,0,250,250,45,667.2912038302677,34.431176116624435
116,25631,0,54,54,25,532.9466619442018,30.606635099652326
117,25881,0,250,250,22,50.84247147053174,5.248167891245397
118,26131,0,250,250,33,560.8099451764456,29.005231269596084
119,26381,0,250,250,227,850.925811597468,25.39253048756672
120,26631,0,250,250,18,73.74772724854195,6.1903191116093055
121,26881,0,250,250,37,258.5360903627748,28.665833992680078
122,27131,0,250,250,47,514.5779664522729,20.373912458252054
123,27381,0,250,250,13,210.76388197564916,24.604962602533313
124,27631,0,250,250,16,58.118222807266214,12.95686189137003
125,27881,0,250,250,11,164.63201421334327,29.21114735754803
126,28131,0,250,250,38,784.3258424106924,28.332321664617112
127,28381,0,250,250,98,760.5475206560845,18.703895524372196
128,28631,0,250,250,63,313.21539986379094,20.04183555017098
