episode,step,reward,success,final_distance
1,250,-195.7634948126759,0,0.5623318535198587
2,500,-91.58132744578825,0,0.11975986351359702
3,589,-81.3951678744024,1,0.023534264792839113
4,839,-300.566843658503,0,0.8734602604973755
5,1089,-201.10442784176956,0,0.34178015396628236
6,1339,-178.74549005703145,0,0.4936594100277668
7,1441,-567.858195319146,0,1.2950019050500936
8,1691,-223.89200168413234,0,0.4050842810665037
9,1788,-67.15112972884731,1,0.049027855337615944
10,2038,-147.04717942183538,0,0.3713856228094449
11,2288,-235.3513768568552,0,0.6835597952454145
12,2538,-91.06263880847368,0,0.08891698034990465
13,2788,-115.76389185495981,0,0.27252201319146757
14,3038,-133.89413995937838,0,0.3240546065733067
15,3288,-309.2936978869946,0,0.5624943774801763
16,3538,-384.10464998174206,0,1.3919196009640098
17,3788,-202.33236607468956,0,0.33621799991972895
18,4038,-202.45385266490302,0,0.28789328943402814
19,4288,-135.58620940758533,0,0.106789337128424
20,4538,-150.941286115541,0,0.2593382428636118
21,4788,-214.52933542954523,0,0.7729779814153438
22,4953,-84.2630395197067,1,0.04688587957631991
23,5101,-65.1261054853947,1,0.037230543349287756
24,5235,-88.1924794069273,1,0.016628732554655717
25,5485,-332.25353156572174,0,0.9873319107443406
26,5735,-226.8137975901356,0,0.5510813321164206
27,5985,-199.90834349990598,0,0.44176414483610393
28,6235,-253.51512088588348,0,0.27681139250244985
29,6485,-276.98941830354937,0,0.9699722571802949
30,6735,-106.22230191461429,0,0.13926454151642892
31,6985,-186.20279571357182,0,0.5667130042743758
32,7235,-176.2953716685513,0,0.186044380337745
33,7485,-203.35936229132017,0,0.4262891889382332
34,7735,-271.80388353572295,0,0.7810982671207529
35,7985,-99.61745463672555,0,0.1207559199535614
36,8235,-146.4937840268484,0,0.17900690729097887
37,8485,-110.60110001964532,0,0.1275338227612282
38,8531,-24.498622304652336,1,0.044477791509912816
39,8781,-84.96792002976463,0,0.11267394203418464
40,9031,-67.75771504161203,0,0.13935902921313326
41,9281,-412.74519819597566,0,0.9939502301972093
42,9531,-256.16707829283496,0,0.703377110622394
43,9781,-229.5467317528935,0,0.3500750252021595
44,9841,-86.64929485307049,1,0.039723565736285764
45,10091,-263.90963451562584,0,0.07504871972501306
46,10341,-179.46691125780157,0,0.23055308225588717
47,10591,-62.039909479247314,0,0.07862647188171881
48,10708,-65.55685338952622,1,0.04923469684677377
49,10958,-150.04349911967387,0,0.2841855996986028
50,11049,-34.72077373056993,1,0.04822469006684733
51,11299,-69.73599653966797,0,0.06348604520502764
52,11549,-195.44534039198743,0,0.2055650923815833
53,11799,-140.22718912059872,0,0.2662846805996088
54,12049,-156.5329243229104,0,0.12559378310024893
55,12299,-89.42423814787298,0,0.1131867866479702
56,12390,-70.27475644431375,1,0.04955017602978168
57,12640,-78.1162776078766,0,0.1537209450379484
58,12890,-219.84298129682566,0,0.48408961725196453
59,13140,-108.437175000727,0,0.10073412699582197
60,13390,-148.86398047722682,0,0.29746697130244953
61,13640,-199.3844214586315,0,0.700342482314846
62,13890,-223.16483065305087,0,0.16831964123124857
63,14140,-106.36253959682364,0,0.2240576285689623
64,14390,-183.83863415624162,0,0.22638826087516525
65,14640,-161.2307601472694,0,0.20799782961686875
66,14890,-163.64939234999494,0,0.14884956122501333
67,15140,-173.1815056788975,0,0.30045139802426096
68,15204,-55.45139290298935,1,0.04985277178101623
69,15347,-106.07569336258899,1,0.04768857121997803
70,15597,-168.53970206060407,0,0.22586556902376795
71,15669,-82.94878105662177,1,0.047936037379062844
72,15743,-470.3791646461291,0,1.6717771929936183
73,15993,-192.60168607287565,0,0.3921949191420052
74,16243,-165.2004412173794,0,0.23437940995093098
75,16493,-225.8141212086657,0,0.5119242532843069
76,16636,-228.52753911599754,1,0.020469673557282762
77,16712,-457.7977320925288,0,2.1370270612646203
78,16962,-159.5188064887532,0,0.27969278408029913
79,17212,-227.00560659870638,0,0.22292155819347692
80,17462,-373.61189110778696,0,0.8196067181111782
81,17712,-512.9803861631058,0,0.3186958909579972
82,17798,-80.86040992372135,1,0.049844161685168406
83,17847,-27.073327245538643,1,0.042564690232858096
84,18097,-190.39713862977132,0,0.27498506086006136
85,18347,-203.14245872287617,0,0.363118026981156
86,18597,-94.6519671215784,0,0.22450175718669163
87,18659,-46.872633169759126,1,0.03087027960947814
88,18909,-78.56455150961425,0,0.1978417498742633
89,19159,-281.7079559691461,0,0.6502579191236233
90,19409,-168.45652103461737,0,0.2842803436917581
91,19659,-182.78546126156974,0,0.3500149160537378
92,19909,-297.92551892238913,0,0.49648472656158205
93,20159,-85.22114414156238,0,0.19467430992712703
94,20409,-248.57095218155587,0,0.5857907989889133
95,20659,-102.18539181098193,0,0.1614067262744106
96,20909,-70.9264681748778,0,0.14266993604863978
97,21159,-79.07069728754664,0,0.07376147613916678
98,21279,-17.46507206945624,1,0.049728551329150536
99,21450,-103.72161677788397,1,0.048843820877820965
100,21700,-384.67214157496534,0,1.037508560355242
101,21950,-215.62577167551592,0,0.4517960114637546
102,22200,-113.4294860258432,0,0.11815091031929364
103,22450,-151.25631414454992,0,0.28735004326125996
104,22700,-172.88111155473513,0,0.3893436819634274
105,22950,-213.60721174374558,0,0.41323424240094125
106,23200,-377.83854499744973,0,1.0248245555811826
107,23450,-144.30556650338264,0,0.2108961710476957
108,23700,-155.9329224247525,0,0.1934001146176525
109,23782,-46.83982941570237,1,0.03170402561328634
110,23961,-57.717900022633216,1,0.04879177826142717
111,24211,-165.98062640118195,0,0.0960002489017877
112,24285,-494.36712373375576,0,1.2796875481921222
113,24535,-185.00875821017607,0,0.37293072664201043
114,24785,-155.24245906989103,0,0.11680028280938616
115,25035,-110.22572991812608,0,0.3239821751859054
116,25095,-402.069405343594,0,1.0067147386661204
117,25345,-121.10101577802587,0,0.25243839944399815
118,25595,-188.35380190090572,0,0.6485355615006012
119,25648,-36.2470339892378,1,0.0474863433057405
120,25898,-116.73843241918362,0,0.2980770879976451
121,26148,-131.65681794145533,0,0.1718277389872635
122,26398,-216.2303675734216,0,0.35603537930954504
123,26648,-106.42691521787107,0,0.23557980097467912
124,26898,-165.40682079092227,0,0.17925392847541516
125,27148,-157.46724109799067,0,0.4101306691998078
126,27398,-65.79921999531634,0,0.14840002222480686
127,27648,-349.43579950567425,0,0.8883709391610847
128,27686,-15.141535357393149,1,0.03870588865549357
129,27936,-123.4265772515308,0,0.28978051785340264
130,28186,-119.52068153668071,0,0.17531763330811778
131,28280,-76.83288186805055,1,0.04157039314067477
132,28530,-105.06699768685083,0,0.21161064039915617
133,28780,-249.1050310424746,0,0.4268883734181328
134,29030,-198.1645257261972,0,0.5366440746600556
135,29280,-204.5572309431588,0,0.13583886817363866
136,29530,-116.44803823794057,0,0.21997175072038438
137,29632,-123.66826298973656,1,0.04826273812127667
138,29823,-61.257122589674225,1,0.04691687334387426
139,29873,-38.123315548647064,1,0.013976079052174545
140,30123,-110.80043653336618,0,0.1856288010287707
141,30373,-158.39592187040117,0,0.20484427463025692
142,30623,-145.42185711473584,0,0.11466366778571488
143,30873,-82.82872750811121,0,0.14953848564769814
144,31123,-132.0304404551552,0,0.3037090541093672
145,31373,-89.809978281711,0,0.18366482301241513
146,31623,-105.4880374474006,0,0.1523225149509354
147,31873,-288.16274263815575,0,0.7076375000226803
148,32123,-80.46113176452552,0,0.1728588786781379
149,32163,-20.700703483218227,1,0.0423013121212467
150,32226,-58.36598761277183,1,0.007650622597953763
151,32476,-103.85072213554781,0,0.16916591944996043
152,32726,-187.813766994775,0,0.14444533153723388
153,32976,-148.6257675586322,0,0.2872237683633299
154,33096,-137.26666074072625,1,0.049913224601578626
155,33346,-238.1396960537008,0,0.5372672091542836
156,33596,-132.25182092381326,0,0.32938371411464373
157,33846,-84.05762124620084,0,0.13706124856939914
158,34096,-121.66581925984137,0,0.14356979758971827
159,34185,-117.0595634296621,1,0.04912734143902164
160,34435,-151.09147530663068,0,0.213490840580194
161,34685,-160.46769240158218,0,0.20664501000593044
162,34773,-45.61697856684365,1,0.048009253306009275
163,35023,-589.1464462267378,0,0.24788038342325838
164,35273,-269.2502090491814,0,1.3537834133897328
165,35390,-93.44335076979073,1,0.04910989358118868
166,35640,-211.07637938257423,0,0.4691076141017209
167,35890,-383.1664039010462,0,0.29899774651943106
168,36140,-375.16924808339354,0,0.7831890984748122
169,36233,-504.00606869112306,0,1.9036937612895735
170,36483,-114.13594100915653,0,0.10381416779144793
171,36733,-160.26328586315577,0,0.115776996563461
172,36832,-109.19456951016379,1,0.014973700942867763
173,37082,-145.06934338648873,0,0.13823391705780774
174,37332,-143.26230803544283,0,0.3233409799630846
175,37582,-187.34665738174385,0,0.22832240406291007
176,37832,-128.34307535539693,0,0.13182493006643728
177,38082,-156.2987626642138,0,0.36642332970070723
178,38143,-54.057964821559416,1,0.04560683176565512
179,38393,-158.73282364151228,0,0.5429410619710513
180,38643,-133.792503524654,0,0.21784025394777612
181,38893,-167.5368551708491,0,0.31627026939027075
182,39143,-190.26108921273027,0,0.3667594793643732
183,39261,-146.0006380306736,1,0.04778257213017458
