episode,step,reward,success,final_distance
1,250,-166.68537087319018,0,0.5099302871359024
2,500,-137.500183935406,0,0.30379766486993603
3,568,-53.424364981963485,1,0.04927842682699146
4,818,-172.35659822103003,0,0.3720149769087224
5,1068,-217.68153065901004,0,0.4169976972191419
6,1318,-167.76223643453145,0,0.3014817328342043
7,1568,-203.01483482240647,0,0.3718293849404969
8,1818,-182.76894968963293,0,0.19233639487756027
9,2068,-236.53742109244547,0,0.44090103490214044
10,2318,-208.4654325182349,0,0.17381452992121407
11,2379,-85.01231223317397,1,0.049749379131562535
12,2435,-35.579902993949744,1,0.03683828168259689
13,2685,-196.4467400997029,0,0.6125100417642731
14,2935,-77.64832911270065,0,0.05165463701807334
15,3185,-108.5803809730893,0,0.21289331760886596
16,3435,-111.50489108736987,0,0.21516758655069862
17,3685,-141.2287681052627,0,0.6441134301114584
18,3935,-177.9051363648584,0,0.17997356864207176
19,4185,-187.7377418746677,0,0.6637517812695382
20,4435,-113.0668208469167,0,0.1420330606921078
21,4685,-119.35027712894444,0,0.35338831248867086
22,4787,-83.51782850816764,1,0.024046426341149663
23,5037,-169.1578412535238,0,0.43143796072109275
24,5287,-236.4615796533765,0,0.6209360613938313
25,5537,-163.63671809638083,0,0.532783832366055
26,5587,-25.728042584252144,1,0.005922185952563712
27,5837,-146.5345824164791,0,0.12845310454353628
28,6087,-206.62591099090167,0,0.4048287592264946
29,6337,-229.34800119329157,0,0.6803814165616062
30,6587,-201.9287333890015,0,0.6106328485945478
31,6837,-425.2133511387639,0,0.4310487320535047
32,7087,-200.75734937257752,0,0.32761992309092564
33,7337,-81.2362418931302,0,0.11083138691573359
34,7409,-59.35330335964833,1,0.03277700091217085
35,7659,-170.69845363841162,0,0.11922976496187832
36,7867,-64.86798672330715,1,0.029143728850200227
37,8117,-135.57130088785337,0,0.3314052411194339
38,8367,-163.82938924653092,0,0.34623470361986014
39,8617,-213.20561336475714,0,0.6316583994417744
40,8867,-168.4532703954778,0,0.2048758694098562
41,9117,-146.31607391690966,0,0.23031725370533185
