episode,step,safety_infeasible,command_attempts,safety_certified_steps,safety_intervention_steps,safety_correction_sum,safety_correction_max
1,250,0,250,250,53,332.19329599582846,26.58884567217001
2,397,0,147,147,52,205.746220524153,22.17397187562917
3,647,0,250,250,88,259.58732947897846,9.087255615835609
4,769,0,122,122,57,335.27833533068343,27.841965831238753
5,1019,0,250,250,25,270.7288700100774,23.505844839208102
6,1269,0,250,250,208,1247.2369171757505,28.358035981915403
7,1519,0,250,250,92,408.3881145204709,27.515928140215276
8,1769,0,250,250,97,1409.0661454611452,32.4298355576939
9,2019,0,250,250,67,237.26714672493196,10.809445147774777
10,2269,0,250,250,16,228.72279689551542,29.1065461000983
11,2519,0,250,250,84,1541.0193428252644,32.47449194737828
12,2769,0,250,250,30,146.98395372022966,14.107022767611072
13,2869,0,100,100,36,136.28941403248987,8.649052104730442
14,2969,0,100,100,24,410.7874484092476,31.732703922152428
15,3219,0,250,250,36,218.60467501984672,14.960667378566924
16,3469,0,250,250,21,381.95184443292686,30.254405172141283
17,3542,0,73,73,28,92.7359905321069,7.80541782690621
18,3792,0,250,250,56,156.85084362165927,15.198735864996571
19,4042,0,250,250,139,547.0003067581423,22.56743516762809
20,4292,0,250,250,63,858.7985420576642,32.43462173998507
21,4542,0,250,250,50,965.1418628703562,32.0020853645082
22,4792,0,250,250,105,308.5915605336162,7.214585304260254
23,5042,0,250,250,65,208.84310346651472,13.653816861541301
24,5157,0,115,115,38,200.60664474703668,24.227426549818947
25,5181,1,24,23,21,371.4407071600258,38.09852805187022
26,5431,0,250,250,191,1584.1852234002845,32.568512144906535
27,5681,0,250,250,97,531.0444960024165,29.370557926949576
28,5782,0,101,101,49,386.32705189993453,32.122881489667485
29,6032,0,250,250,238,2280.4743254755117,32.783885254711066
30,6282,0,250,250,69,325.8765840933989,13.73492531666004
31,6328,0,46,46,9,16.354149612103743,2.787860636658421
32,6578,0,250,250,59,122.88385698663582,5.557215954909012
33,6636,0,58,58,10,85.32284681097133,14.026607483845465
34,6768,0,132,132,37,151.16190959965755,14.886877424227237
35,7018,0,250,250,77,1349.2228549865936,35.40267622790632
36,7268,0,250,250,33,58.491787063543185,6.896357918872963
37,7518,0,250,250,30,718.5666912087927,34.03980637292108
38,7768,0,250,250,62,925.9368138938264,32.18568781586521
39,8018,0,250,250,16,125.74483325342626,13.148496925558371
40,8268,0,250,250,16,28.623333631913837,4.4419537891499035
41,8332,1,64,63,58,1042.6863028734697,43.84754850625428
42,8582,0,250,250,28,139.97582169903876,10.864054510207504
43,8832,0,250,250,9,24.445331245585074,6.0892401450193745
44,9082,0,250,250,39,216.8570674976062,26.98707795956903
45,9332,0,250,250,55,615.5390265952778,22.91690496211485
46,9582,0,250,250,38,387.7512204950735,29.126180225066012
47,9687,0,105,105,25,206.9955427222288,29.737788747625284
48,9928,0,241,241,15,89.27020141600968,18.68492765507744
49,10178,0,250,250,14,156.26362696345467,16.635375016037667
50,10428,0,250,250,6,3.7294385814425235,0.9098434058170819
51,10678,0,250,250,244,2959.3362130727096,26.899773179829854
52,10853,0,175,175,15,209.41052037542687,19.661380253993965
53,11103,0,250,250,125,370.7500715618541,17.925140792279873
54,11353,0,250,250,49,745.1671872518855,20.320033271174715
55,11603,0,250,250,10,99.80837448443812,19.346966859107503
56,11853,0,250,250,21,47.90933597466069,4.632951203222388
57,12103,0,250,250,179,825.1315406263759,16.685726738108034
58,12353,0,250,250,107,651.527232526608,16.523711385183212
59,12603,0,250,250,4,3.8091654417376875,2.3028969873690883
60,12853,0,250,250,213,829.4510123471196,10.726212080427931
61,13103,0,250,250,4,30.34927418878993,11.569400037802291
62,13163,1,60,59,55,986.0329347747629,30.634198098443548
63,13413,0,250,250,35,322.18687844061145,27.363634554841887
64,13663,0,250,250,15,24.47889921515905,3.0899534573222587
65,13913,0,250,250,52,331.66917986192607,15.061969821946134
66,14163,0,250,250,17,410.7206045649553,33.98432296179432
67,14234,1,71,70,65,1052.6731846422376,34.94596609171011
68,14361,0,127,127,9,5.811953500512403,1.7436139583587646
69,14419,1,58,57,54,957.417085911728,27.75316725780696
70,14669,0,250,250,37,201.94083106201828,12.791624306228188
71,14919,0,250,250,99,525.8412504351946,9.462804791083935
72,15169,0,250,250,80,854.4686186453713,35.09923845747771
73,15258,0,89,89,26,114.97301709277636,20.69331615350815
74,15508,0,250,250,51,614.4749529322734,33.77249639622653
75,15758,0,250,250,57,1048.7005251741975,25.934884565454503
76,16008,0,250,250,172,466.65526959850956,10.259707019107264
77,16258,0,250,250,32,825.4453369290807,34.031783405850256
78,16508,0,250,250,20,378.353736973802,33.604614276226904
79,16758,0,250,250,51,1018.9959022431619,32.050328680161485
80,17008,0,250,250,76,1235.1210049623003,33.048358495241864
81,17258,0,250,250,27,303.65934666077453,20.75139459967781
82,17508,0,250,250,249,2841.22664933764,31.44516086559619
83,17758,0,250,250,250,2577.4866712224434,29.83646506886353
84,18008,0,250,250,20,22.86630774425435,3.2288357242021273
85,18258,0,250,250,249,2825.0721350960725,32.09694635979649
86,18508,0,250,250,27,240.59135623401255,13.74777504278972
87,18758,0,250,250,39,320.4173047959168,17.676244639204963
88,18848,0,90,90,13,195.25805052645376,21.331820184418103
89,18958,0,110,110,98,666.381750803267,16.921732964958135
90,19208,0,250,250,246,3227.3615186590255,50.1461961454379
91,19458,0,250,250,8,4.735051663509669,1.169974953228229
92,19708,0,250,250,37,379.5082034681337,16.593139383341786
93,19780,0,72,72,13,144.65510468960179,21.125122936254208
94,19868,0,88,88,36,202.47920432330488,20.907751415816584
95,20118,0,250,250,54,1405.0303592650753,32.5986073513269
96,20368,0,250,250,25,208.58363111312167,13.087793837633695
97,20618,0,250,250,249,2772.014397276901,28.786678425589525
98,20679,1,61,60,60,757.1405588753215,20.869275825630588
99,20929,0,250,250,15,332.22842611987636,29.932083426273568
100,21179,0,250,250,241,2411.2603521332453,26.23763846793644
101,21305,0,126,126,53,159.694051044216,6.311227501785994
102,21452,0,147,147,94,263.8823768440169,11.696676890581509
103,21561,0,109,109,104,657.6299434442841,28.109559483226054
104,21811,0,250,250,35,628.5365599111418,26.47531444469216
105,22061,0,250,250,31,202.9614677033981,11.478275147496765
106,22311,0,250,250,32,121.39884259647273,9.059795382599265
107,22561,0,250,250,35,693.7665189583832,29.28632489702043
108,22811,0,250,250,49,876.1966010200208,25.3200596487793
109,22884,0,73,73,7,39.624468644824184,8.100974877883878
110,23134,0,250,250,23,476.0853707795008,29.05094947666242
111,23384,0,250,250,173,474.4535727940315,10.27978104453878
112,23634,0,250,250,36,330.73693314120646,14.624983540685955
113,23884,0,250,250,118,344.8878275698523,9.728834221263847
114,24134,0,250,250,38,754.1504364245781,26.099274339092336
115,24384,0,250,250,37,199.90125640634804,9.343293717787498
