episode,step,safety_infeasible,command_attempts,safety_certified_steps,safety_intervention_steps,safety_correction_sum,safety_correction_max
1,250,0,250,250,71,842.0516084726111,34.653140271145475
2,311,0,61,61,24,307.91672925318767,28.115155819450443
3,561,0,250,250,89,486.0292587507658,19.645483006514226
4,633,0,72,72,17,70.31312284092473,9.650621452262257
5,883,0,250,250,47,148.2778791068591,7.6986832259058735
6,1133,0,250,250,24,54.642466852837856,5.8312879160884865
7,1357,0,224,224,15,269.00278718814343,33.37492234663535
8,1607,0,250,250,151,897.6114328040352,22.64019759311801
9,1857,0,250,250,88,313.8580365536264,25.882981306588267
10,2107,0,250,250,84,265.9660178997438,15.672050086196228
11,2357,0,250,250,226,2363.700090105135,54.985650001642
12,2607,0,250,250,90,325.2496540502891,14.251015365118546
13,2707,0,100,100,28,208.25372259304942,26.370671905075096
14,2957,0,250,250,43,581.5172847750497,28.80969020981186
15,3207,0,250,250,95,304.39713253659096,7.919628537015761
16,3457,0,250,250,25,493.94833206978444,32.731686486221896
17,3707,0,250,250,40,809.114868162931,32.53488575053764
18,3823,0,116,116,35,142.78020295030495,14.056993448390873
19,4073,0,250,250,134,1420.6931955606444,34.586388144531725
20,4323,0,250,250,66,346.38854660412824,28.799456069751194
21,4366,0,43,43,9,28.77703930738234,6.812835681977897
22,4616,0,250,250,35,99.06419870315322,7.831102864564041
23,4866,0,250,250,180,966.4866869013103,16.013490249246775
24,5116,0,250,250,63,904.7927867735579,32.203805595246486
25,5366,0,250,250,63,275.78865090491314,19.985080798927616
26,5616,0,250,250,113,474.7186605476413,11.022645994414676
27,5866,0,250,250,49,777.6062112793145,28.455177400453813
28,6116,0,250,250,210,1580.8611447879562,32.86690824199116
29,6366,0,250,250,76,779.0826679647726,33.01910689434669
30,6616,0,250,250,28,488.7916514886896,31.401152580236992
31,6866,0,250,250,46,777.5044560600745,32.91613488199448
32,7116,0,250,250,61,249.0893801736331,15.829457386385693
33,7366,0,250,250,29,216.22684775777697,22.353939422283705
34,7616,0,250,250,128,562.072278150012,10.043254282646748
35,7866,0,250,250,244,2632.365442326226,29.517970176876656
36,8116,0,250,250,160,2370.8450445685385,38.471603209758555
37,8366,0,250,250,123,456.4242178458553,24.028209339751633
38,8616,0,250,250,33,167.36341670351288,14.697997918001253
39,8866,0,250,250,236,1720.4919033646079,39.06928193931122
40,9116,0,250,250,172,1454.0885143517162,34.8982742637544
41,9366,0,250,250,71,537.5279139140334,29.092321584995567
42,9449,0,83,83,38,538.8408755766216,33.00691813366948
43,9699,0,250,250,41,635.4149812729767,32.40702807908943
44,9949,0,250,250,18,250.55422655877192,24.482688355238185
45,10199,0,250,250,92,224.19708140516192,6.3956637004489165
46,10449,0,250,250,126,457.8293159248746,18.08956289077694
47,10612,0,163,163,69,248.47306716711782,8.10196378721915
48,10862,0,250,250,15,53.52410083578056,8.020720334223808
49,11112,0,250,250,33,674.1197447124559,33.56148263712599
50,11163,0,51,51,29,112.48100892097524,7.904730104198415
51,11413,0,250,250,28,364.986169132011,21.891386527104693
52,11474,0,61,61,22,280.0631693020218,30.79063470741096
53,11724,0,250,250,55,565.2165673774444,26.751780759233718
54,11974,0,250,250,28,116.23434429052311,7.9751172806465425
55,12224,0,250,250,21,76.80855276574643,19.58129632180393
56,12474,0,250,250,91,439.9518795934546,30.143176798186875
57,12547,0,73,73,46,289.7206745976161,10.667329106364104
