population,condition,training_seed,ensemble_seed,scenario,episode_seed,window_first_step,window_last_step,n_rows_in_window,uncertainty_norm_landmark_median,uncertainty_ratio_landmark_median,unsafe_episode,safety_infeasible,operational_failure
safety,A6c_gate_off_control,0,0,id_reference,50049,0,24,25,7.773458871996309,1.8521126965056676,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50050,0,24,25,5.070660851217258,1.2081411244158156,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50051,0,24,25,5.305838251728791,1.264174745560678,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50052,0,24,25,7.091485422181055,1.6896249666698722,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50053,0,24,25,7.1904404997561215,1.7132021102012713,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50054,0,24,25,4.3469304691366,1.0357043428529324,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50055,0,24,25,7.21202035598562,1.7183437500259067,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50056,0,24,25,3.794385269708559,0.90405432757587,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50057,0,24,25,6.553030766527554,1.5613321795527875,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50058,0,24,25,7.572659170279133,1.8042699429606908,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50059,0,24,25,5.588916227559344,1.3316212094540731,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50060,0,24,25,8.049841063867728,1.9179638156898438,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50061,0,24,25,3.796973362722474,0.9046709694092858,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50062,0,24,25,5.0899452465962876,1.2127358452619765,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50063,0,24,25,4.720967917761638,1.1248229088574004,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50064,0,24,25,6.175038264764821,1.471271278321196,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50065,0,24,25,4.328303212472502,1.0312661925858833,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50066,0,24,25,6.879788798586386,1.6391859007632463,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50067,0,24,25,4.849973479707465,1.155559913212111,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50068,0,24,25,3.794965231770311,0.9041925099623405,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50069,0,24,25,6.998775335223059,1.6675357613397164,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50070,0,24,25,4.5543248667344205,1.085118355752498,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50071,0,24,25,5.215484157920387,1.242646881699885,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50072,0,24,25,7.377323119466431,1.7577289647741592,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50073,0,24,25,5.4987618284669395,1.3101409250717362,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50074,0,24,25,4.496137736538106,1.07125462734222,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50075,0,24,25,5.772919048182005,1.3754619199897378,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50076,0,24,25,7.157289841040191,1.7053035984941483,True,False,True
safety,A6c_gate_off_control,0,0,id_reference,50077,0,24,25,3.5178387266403517,0.8381640498982522,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50078,0,24,25,5.9586702401657865,1.4197191993719689,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50079,0,24,25,6.790446607678606,1.6178991339791522,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50080,0,24,25,6.414155553885551,1.528243621576263,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50081,0,24,25,3.758069493011658,0.8954016914442117,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50082,0,24,25,3.938888928352208,0.9384839251684653,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50083,0,24,25,4.755772342546077,1.1331154486520159,True,False,True
safety,A6c_gate_off_control,0,0,id_reference,50084,0,24,25,6.464058866218853,1.540133638606283,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50085,0,24,25,6.484894132471596,1.5450978716198258,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50086,0,24,25,8.491081737890182,2.023094294673369,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50087,0,24,25,4.859238078606367,1.1577673065400031,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50088,0,24,25,5.538765061380599,1.319672138499464,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50089,0,24,25,2.654394295549964,0.6324388483009703,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50090,0,24,25,7.351911685767151,1.7516744091682372,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50091,0,24,25,7.937273992042495,1.8911434637243822,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50092,0,24,25,4.9106113943452545,1.1700075681672126,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50093,0,24,25,7.097228271685784,1.6909932641880012,True,False,True
safety,A6c_gate_off_control,0,0,id_reference,50094,0,24,25,4.713277708252566,1.1229906312439106,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50095,0,24,25,5.616988065021844,1.3383096357305457,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50096,0,24,25,7.5530751541732,1.7996038341569203,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50097,0,24,25,5.202224193789543,1.2394875483418069,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50098,0,24,25,7.743960245199225,1.8450843218631796,False,False,False
safety,A6c_gate_off_control,0,0,id_reference,50099,0,24,25,5.575350393770095,1.3283889992612248,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50000,0,24,25,4.845815520674307,1.1545692334074484,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50001,0,24,25,6.562375187267706,1.563558591318684,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50002,0,24,25,5.382132624156528,1.282352725038307,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50003,0,24,25,7.434612096076921,1.7713786981421902,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50004,0,24,25,6.566900693481131,1.5646368433110107,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50005,0,24,25,3.4826348898382493,0.8297763457654402,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50006,0,24,25,6.156646922161273,1.466889337192707,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50007,0,24,25,7.2039307187811685,1.716416304338831,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50008,0,24,25,5.236599475212933,1.247677839976278,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50009,0,24,25,6.818061060534445,1.6244785833058355,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50010,0,24,25,7.869499345909858,1.874995403424528,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50011,0,24,25,3.7497420213865182,0.8934175790714975,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50012,0,24,25,7.0013321807879425,1.6681449581222174,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50013,0,24,25,7.173631317017103,1.7091971361888694,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50014,0,24,25,5.587860019359184,1.331369556148912,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50015,0,24,25,7.387679513451966,1.7601964903771727,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50016,0,24,25,7.499005360844919,1.786721106870421,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50017,0,24,25,4.575382131540672,1.090135482380882,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50018,0,24,25,7.139850949091171,1.701148589286069,True,True,True
safety,A6c_gate_off_control,0,0,motor_fault,50019,0,24,25,6.862102774499906,1.6349720095855007,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50020,0,24,25,5.297206766087094,1.262118198480422,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50021,0,24,25,4.0924910814282045,0.9750813398595655,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50022,0,24,25,7.64739246247294,1.8220759777777595,False,False,False
