scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
id_reference,C0_posthoc_hocbf_train_seed_22,620473,114,115,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,114,109,0.956140350877193,-177.18340471457287,-4.263256414560601e-14,True,False,114,109,0.956140350877193,5.480762826521916,16.55189519207142,False,True
id_reference,C0_posthoc_hocbf_train_seed_22,620474,70,71,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,70,32,0.45714285714285713,-85.59631584427898,-2.842170943040401e-14,True,False,70,32,0.45714285714285713,1.7576929654657711,6.795542890934787,False,True
id_reference,C0_posthoc_hocbf_train_seed_22,620475,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,41,0.164,-287.8528528362026,-2.1316282072803006e-14,True,False,250,41,0.164,2.343154608978593,25.110521795907378,False,False
id_reference,C0_posthoc_hocbf_train_seed_22,620476,39,40,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,39,14,0.358974358974359,-174.55984392333326,-2.842170943040401e-14,True,False,39,14,0.358974358974359,3.8168795268648443,17.33151256182547,False,True
id_reference,C0_posthoc_hocbf_train_seed_22,620477,51,52,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,51,24,0.47058823529411764,-81.76432106309394,-2.4868995751603507e-14,True,False,51,24,0.47058823529411764,2.4225723367961036,8.497732321703168,False,True
id_reference,C0_posthoc_hocbf_train_seed_22,620478,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,48,0.192,-74.69007938425085,-2.1316282072803006e-14,True,False,250,48,0.192,0.9064705458158927,6.903396392916879,False,False
id_reference,C0_posthoc_hocbf_train_seed_22,620479,89,90,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,89,52,0.5842696629213483,-179.42274796197546,-4.263256414560601e-14,True,False,89,52,0.5842696629213483,2.4987515474498654,12.520804729614483,False,True
id_reference,C0_posthoc_hocbf_train_seed_22,620480,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,49,0.196,-61.26362760290897,-1.4210854715202004e-14,True,False,250,49,0.196,0.5022634901814342,7.852516259993289,False,False
id_reference,C0_posthoc_hocbf_train_seed_22,620481,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,11,0.044,-66.45306056852897,-2.1316282072803006e-14,True,False,250,11,0.044,0.1529770146777841,8.198277207640317,False,False
id_reference,C0_posthoc_hocbf_train_seed_22,620482,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,37,0.148,-258.6742889543793,-1.4210854715202004e-14,True,False,250,37,0.148,2.524931291172417,22.90549152329251,False,False
