scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
id_reference,P0_inloop_reference_train_seed_30,650020,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,18,0.072,-138.9506661969896,-1.4210854715202004e-14,True,False,250,18,0.072,0.41840133694495807,10.468597292808878,False,False
id_reference,P0_inloop_reference_train_seed_30,650021,52,53,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,52,21,0.40384615384615385,-354.07258871721064,-5.684341886080802e-14,True,False,52,21,0.40384615384615385,6.82721945425051,25.922935245286087,False,True
id_reference,P0_inloop_reference_train_seed_30,650022,102,103,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,102,36,0.35294117647058826,-216.71497669944998,-2.1316282072803006e-14,True,False,102,36,0.35294117647058826,6.5288369274127795,28.500087290737177,False,True
id_reference,P0_inloop_reference_train_seed_30,650023,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,31,0.124,-265.06439288545937,-2.1316282072803006e-14,True,False,250,31,0.124,1.6717681324424605,22.191539594878055,False,False
id_reference,P0_inloop_reference_train_seed_30,650024,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,30,0.12,-40.85973734734288,-2.1316282072803006e-14,True,False,250,30,0.12,0.37839038347472254,4.521719584163883,False,False
id_reference,P0_inloop_reference_train_seed_30,650025,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,60,0.24,-124.5060180834323,-5.684341886080802e-14,True,False,250,60,0.24,1.6456792939795313,13.340196367842688,False,False
id_reference,P0_inloop_reference_train_seed_30,650026,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,250,1.0,-375.7248425147505,-2.1316282072803006e-14,True,False,250,250,1.0,2.1189681971442935,26.80152623908144,False,False
id_reference,P0_inloop_reference_train_seed_30,650027,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,68,0.272,-329.5632882121022,-2.842170943040401e-14,True,False,250,68,0.272,2.3837771209590466,27.548838687431587,False,False
id_reference,P0_inloop_reference_train_seed_30,650028,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,23,0.092,-383.1706552904999,-2.842170943040401e-14,True,False,250,23,0.092,1.6788699538450937,28.072248919474415,False,False
id_reference,P0_inloop_reference_train_seed_30,650029,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,43,0.172,-365.28426859250203,-2.1316282072803006e-14,True,False,250,43,0.172,1.2365325717884537,29.81265896294611,False,False
id_reference,P0_inloop_reference_train_seed_30,650030,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,38,0.152,-291.6279868903596,-4.973799150320701e-14,True,False,250,38,0.152,1.0747860680606072,25.004110687857004,False,False
id_reference,P0_inloop_reference_train_seed_30,650031,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,52,0.208,-350.43493825542004,-4.263256414560601e-14,True,False,250,52,0.208,1.2162407189342546,26.90551203251771,False,False
id_reference,P0_inloop_reference_train_seed_30,650032,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,33,0.132,-113.90566714157652,-4.263256414560601e-14,True,False,250,33,0.132,0.49790759804910967,8.274859202817698,False,False
id_reference,P0_inloop_reference_train_seed_30,650033,250,251,16,0.06374501992031872,True,1,74,0.18119260531567427,0.0,0.0024168859436569873,0.0594074115789096,0.012132767437158076,250,51,0.204,-227.59135350820523,-5.684341886080802e-14,True,False,250,51,0.204,2.1996633162049775,17.510620719543365,False,False
