scenario,controller,seed,reward,steps,success,final_distance,max_speed,max_command_torque,fault_seen
id_reference,P0_inloop_reference_train_seed_30,650000,-304.67104608877224,250,False,0.9011734226553247,6.155786125311,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650001,-210.68992863618803,250,False,0.3515095392694743,4.614453996655449,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650002,-117.33372855178484,250,False,0.21972234002265217,4.90429827159514,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650003,-241.48717669434737,250,False,0.5775864398210294,5.979777819088087,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650004,-119.44320194077697,250,False,0.35921602973350475,3.527889402729416,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650005,-402.8743044924406,250,False,1.1680855101362089,8.391489594178786,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650006,-87.49063467068578,250,False,0.09819327784344285,3.47062513143352,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650007,-193.8932333996585,250,False,0.1326242275062443,3.7606181167484,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650008,-70.55373424711992,250,False,0.15111274254130136,5.6511332147912565,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650009,-118.22920903569491,250,False,0.18431904441216515,3.984388767018165,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650010,-167.72285888071397,250,False,0.08598185619653323,2.364113789231762,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650011,-74.26909914038113,250,False,0.07847797462004642,5.07237907034159,39.63923645019531,False
id_reference,P0_inloop_reference_train_seed_30,650012,-38.993713972913184,75,True,0.049794667045346075,5.7685143770291605,36.038124084472656,False
id_reference,P0_inloop_reference_train_seed_30,650013,-137.10890383704373,250,False,0.14880414976249767,2.6895038557585313,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650014,-96.25490991470612,250,False,0.20805862287590218,5.010894583673622,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650015,-93.98925375720134,250,False,0.23413579256831163,5.53094779585678,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650016,-200.3865000743149,142,True,0.04750839251376989,4.394328025216772,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650017,-91.46057099698932,250,False,0.12823533693236971,3.3072034910891626,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650018,-118.11478411909657,250,False,0.12445551660083191,3.0251812177836643,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650019,-98.88939491764184,198,True,0.04987059447412201,6.973127169467698,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650020,-69.94528355877907,250,False,0.09923707490046407,4.502229748043192,39.40389633178711,False
id_reference,P0_inloop_reference_train_seed_30,650021,-71.50077521526752,52,True,0.047208743838637136,4.454376451421225,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650022,-117.08775519213876,102,True,0.04963766157551265,3.7401602155450853,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650023,-140.49251099584123,250,False,0.31957678904648296,3.0462729745306607,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650024,-133.9991491062947,250,False,0.3823463699827334,2.7073620755107477,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650025,-154.54995625281288,250,False,0.1378786263830511,4.529788667126431,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650026,-113.68600713018301,250,False,0.10375508687361877,5.8011804513137815,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650027,-170.35099059315246,250,False,0.2156070874233578,4.134949627734441,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650028,-120.21240128832333,250,False,0.09880655337708542,5.475473862586037,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650029,-124.35167141764893,250,False,0.18338247937731014,5.421349191351781,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650030,-113.13376596243062,250,False,0.1619461948124138,4.486431799905157,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650031,-114.36276595570507,250,False,0.13456076363016442,3.477490480861298,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650032,-82.33710399052308,250,False,0.0713507232779355,3.2633692750503096,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650033,-169.3047433073649,250,False,0.07480373457564923,6.248705342735329,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650034,-37.995785708862634,78,True,0.017786464181205774,4.65843073660166,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650035,-67.43667881899901,250,False,0.06855516660669046,5.756424771955671,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650036,-296.53705896381115,250,False,0.6950479950589529,7.860243203398586,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650037,-41.620773155543155,97,True,0.049705588842040384,2.7465298946256196,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650038,-146.26948105443864,250,False,0.22280365304272207,4.753783466121503,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650039,-74.46004335208484,250,False,0.22539725051196088,3.926092606521181,16.68460464477539,False
id_reference,P0_inloop_reference_train_seed_30,650040,-95.74130888126865,62,True,0.03750602345051659,3.599630545618805,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650041,-76.71321368138406,61,True,0.032658472428917305,4.044618542650948,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650042,-233.00013466165316,250,False,0.11807945378567603,4.16584790352353,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650043,-368.75211063168126,250,False,0.16933333025937275,6.402461268333408,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650044,-69.82870479299659,88,True,0.03484574217365666,3.3917818350703537,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650045,-71.71121588493288,96,True,0.03701706813287865,2.022926074929417,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650046,-170.45088859688485,79,True,0.035403893765316066,3.6787345483512603,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650047,-61.98272276156035,67,True,0.04709856152427343,2.601854396318049,40.0,False
id_reference,P0_inloop_reference_train_seed_30,650048,-93.29152069660566,250,False,0.2715919634432447,2.768255008783016,40.0,False
