scenario,controller,seed,steps,uncertainty_scale_mean,uncertainty_scale_min,uncertainty_norm_mean,uncertainty_norm_max,raw_residual_norm_mean,gated_residual_norm_mean
id_reference,A4_train_seed_0,50000,250,0.10077675252393317,0.1,5.78670701856588,6.240027088405519,10.119166184815004,1.0171161556682375
id_reference,A4_train_seed_0,50001,250,0.10073020930760834,0.1,3.748626341245428,11.684717694211553,8.267994053835476,0.8332951984402366
id_reference,A4_train_seed_0,50002,250,0.10007167543226873,0.1,3.968035197293661,6.702343335074693,9.234466884802655,0.9239907240882821
id_reference,A4_train_seed_0,50003,250,0.1,0.1,5.0433593229888025,15.187735411176336,8.896113564017513,0.8896113564017513
id_reference,A4_train_seed_0,50004,250,0.1,0.1,3.7007797118401315,10.640208076336293,7.791173788219968,0.7791173788219969
id_reference,A4_train_seed_0,50005,250,0.1,0.1,6.710743176610822,8.780261851131133,7.175084662927602,0.7175084662927602
id_reference,A4_train_seed_0,50006,250,0.1018210993324454,0.1,4.3729532342546635,7.083583793549034,8.11284425256427,0.8268903677525274
id_reference,A4_train_seed_0,50007,250,0.1,0.1,5.424584369869194,20.948990253263226,10.643065931358237,1.0643065931358238
id_reference,A4_train_seed_0,50008,250,0.10085508448916378,0.1,5.9771463923500905,9.498480936946294,9.549237189079431,0.959747022101218
id_reference,A4_train_seed_0,50009,250,0.1,0.1,6.289997570071114,11.870692624540677,4.959970126591361,0.49599701265913615
id_reference,A4_train_seed_0,50010,250,0.1,0.1,4.742417876927255,14.863876865074472,8.287413028756255,0.8287413028756255
id_reference,A4_train_seed_0,50011,250,0.10168938721208887,0.1,4.041524248934278,5.070275683368528,8.768999518669068,0.8824783775264905
id_reference,A4_train_seed_0,50012,57,0.10054817427240155,0.1,4.887524645457144,11.369861704219463,9.03385307203068,0.9081099627436005
id_reference,A4_train_seed_0,50013,250,0.1,0.1,3.6033263049825193,9.84714556503048,10.689679537412088,1.068967953741209
id_reference,A4_train_seed_0,50014,250,0.1,0.1,5.261271601530218,8.532211995444024,8.511504602306122,0.8511504602306122
id_reference,A4_train_seed_0,50015,250,0.10327829655439728,0.1,3.665769110642036,16.732817259916732,8.646969923463418,0.89085299767034
id_reference,A4_train_seed_0,50016,250,0.1,0.1,3.9381282298220532,9.53705934266459,9.850396745656624,0.9850396745656627
id_reference,A4_train_seed_0,50017,250,0.10005986123118216,0.1,6.232799510392615,9.413521213881173,8.014152347880534,0.8015691468906965
id_reference,A4_train_seed_0,50018,83,0.10080188452275994,0.1,5.06232021676157,10.78040822876838,8.069128202893314,0.8130131089997654
id_reference,A4_train_seed_0,50019,250,0.1,0.1,6.293031110635939,17.827569924854615,4.938749530360183,0.49387495303601825
id_reference,A4_train_seed_0,50020,250,0.1,0.1,4.885204393246788,7.955113659399477,5.372697336304074,0.5372697336304075
id_reference,A4_train_seed_0,50021,250,0.1,0.1,4.359376542634643,5.567097665551284,8.714184180074746,0.8714184180074744
id_reference,A4_train_seed_0,50022,250,0.1,0.1,4.31123231405901,20.886529431285517,8.166849776497362,0.8166849776497362
id_reference,A4_train_seed_0,50023,250,0.1003398651293646,0.1,3.115572905697545,11.130195052248324,7.96188381359063,0.7981323491600876
id_reference,A4_train_seed_0,50024,250,0.10050026905057079,0.1,4.02154721377112,5.146552597436125,7.77652435987459,0.7810772084705853
id_reference,A4_train_seed_0,50025,250,0.10010902663711102,0.1,4.351141356964856,12.197332099302383,7.709988387098943,0.7716123682103349
id_reference,A4_train_seed_0,50026,250,0.1000040603761735,0.1,6.138191578844283,7.02255047793418,8.473862461437166,0.8474197119623362
id_reference,A4_train_seed_0,50027,38,0.1044367307644735,0.1,3.9820661984549295,9.857245803542531,6.535188965539513,0.6881055449831308
id_reference,A4_train_seed_0,50028,250,0.10002215361982468,0.1,3.8530994934655096,23.302751525016014,7.35658702153508,0.7358203490955052
id_reference,A4_train_seed_0,50029,250,0.1,0.1,5.780419433363378,21.09013269969992,7.94828560430529,0.794828560430529
id_reference,A4_train_seed_0,50030,250,0.10032810991719006,0.1,3.9112508722260872,11.055580390334724,7.778294766649839,0.7798813409767483
id_reference,A4_train_seed_0,50031,250,0.10684498244026464,0.1,2.6328019480314397,13.012095012306311,8.323519745235597,0.8919135805517521
id_reference,A4_train_seed_0,50032,250,0.1,0.1,4.179820567411282,19.161140735110035,8.481585669738076,0.8481585669738075
id_reference,A4_train_seed_0,50033,250,0.1,0.1,4.028536202420263,4.392642847446332,7.48880514338612,0.7488805143386121
id_reference,A4_train_seed_0,50034,250,0.1,0.1,4.22376793135425,6.49266881410711,8.409444772757011,0.8409444772757012
id_reference,A4_train_seed_0,50035,250,0.1,0.1,5.81542198043094,8.34617685061605,9.103904186923105,0.9103904186923107
id_reference,A4_train_seed_0,50036,250,0.1,0.1,4.6574195255085025,6.95610356314884,6.845546838862094,0.6845546838862094
id_reference,A4_train_seed_0,50037,250,0.1,0.1,3.510181396929608,9.222579866387631,7.437405786011996,0.7437405786011996
id_reference,A4_train_seed_0,50038,250,0.1,0.1,4.684845061646483,17.208324347885505,8.16755701469703,0.8167557014697029
id_reference,A4_train_seed_0,50039,250,0.1,0.1,5.291865169201237,6.3972572479962855,6.612272662412747,0.6612272662412747
id_reference,A4_train_seed_0,50040,250,0.1002162337091292,0.1,3.4855548311094418,9.993676576640208,8.323645708279725,0.8337606031894609
id_reference,A4_train_seed_0,50041,250,0.1,0.1,3.2461827595754533,10.783014152842737,6.606678845481598,0.6606678845481597
id_reference,A4_train_seed_0,50042,55,0.10323415533674551,0.1,3.2803385498527082,8.43077187958955,6.927943019667133,0.7128858995968991
id_reference,A4_train_seed_0,50043,250,0.1,0.1,4.5464387330312634,5.769498150258834,7.1712135601159375,0.7171213560115937
id_reference,A4_train_seed_0,50044,250,0.13059300912296956,0.1,2.2682447529372993,11.968154001139427,10.113721760405333,1.335408164192927
id_reference,A4_train_seed_0,50045,250,0.1,0.1,6.6864487500335805,18.81399050626211,5.869820089739398,0.5869820089739398
id_reference,A4_train_seed_0,50046,61,0.09999999999999996,0.1,7.384165976015406,18.698639743703676,8.488031309201137,0.8488031309201137
id_reference,A4_train_seed_0,50047,250,0.1,0.1,5.317406436220026,8.71388409121621,7.197918641620147,0.7197918641620147
id_reference,A4_train_seed_0,50048,250,0.10055933322835767,0.1,4.281348095992047,9.581957581918259,7.813709341385918,0.7845150290315407
id_reference,A4_train_seed_0,50049,250,0.1,0.1,4.836141435678522,22.969511860939217,8.459924562755024,0.8459924562755026
id_reference,A4_train_seed_0,50050,250,0.10045998758299911,0.1,7.126131754306393,9.53049716032308,8.412979220307639,0.8437415528095972
id_reference,A4_train_seed_0,50051,250,0.1,0.1,5.8291376969271305,8.80272406110403,9.43626530700156,0.9436265307001562
id_reference,A4_train_seed_0,50052,250,0.10977385441106788,0.1,2.4075738044784556,9.007137822496253,7.47732812264426,0.8263889957910854
id_reference,A4_train_seed_0,50053,250,0.10778502944385117,0.1,2.5454827400862783,8.154390494217916,8.986223461635426,0.9709375131851318
id_reference,A4_train_seed_0,50054,250,0.1,0.1,4.129526438264298,12.016744030491006,7.781065742569913,0.7781065742569913
id_reference,A4_train_seed_0,50055,250,0.1,0.1,5.629977916146448,15.720507422968227,7.535469984024547,0.7535469984024548
id_reference,A4_train_seed_0,50056,51,0.10088528181345528,0.1,4.33663969481797,4.9932056365021795,5.865531300617552,0.5944464178870572
id_reference,A4_train_seed_0,50057,250,0.10020741774612811,0.1,4.604586012932286,7.999235976196571,5.72449629464783,0.5747396772642421
id_reference,A4_train_seed_0,50058,250,0.1,0.1,6.8231507786198105,25.579630829589437,4.851529113336772,0.48515291133367733
id_reference,A4_train_seed_0,50059,250,0.1,0.1,5.007640138926647,7.530159627108856,10.541407568246152,1.0541407568246153
id_reference,A4_train_seed_0,50060,250,0.1,0.1,5.38072532672582,25.42971681045067,10.31273127105354,1.0312731271053543
id_reference,A4_train_seed_0,50061,250,0.10035883613916038,0.1,4.300713056558293,6.278388547942087,10.02478666865245,1.0037335533911598
id_reference,A4_train_seed_0,50062,250,0.10012688260863166,0.1,6.9619859314188055,12.606906089783159,7.888032591336779,0.7889593274308346
id_reference,A4_train_seed_0,50063,250,0.1,0.1,5.1714383763201575,5.8101639775369245,7.950798289443727,0.7950798289443727
id_reference,A4_train_seed_0,50064,250,0.1009057230466137,0.1,4.3507356411799005,6.893840828271273,3.768312339796145,0.3845638541903523
id_reference,A4_train_seed_0,50065,250,0.1,0.1,3.7087297745423413,6.277910257713341,8.378176280223565,0.8378176280223565
id_reference,A4_train_seed_0,50066,250,0.1,0.1,6.348782509642923,17.503750671015588,5.114639937016889,0.5114639937016888
id_reference,A4_train_seed_0,50067,250,0.10003789436390326,0.1,4.525386507809322,5.5976548991292185,8.742614668993939,0.8746746111746126
id_reference,A4_train_seed_0,50068,46,0.09999999999999995,0.1,3.6440712937569275,4.588516155424846,6.25650960462922,0.6256509604629219
id_reference,A4_train_seed_0,50069,250,0.10993180257187833,0.1,3.0077227890649576,16.16110421636255,6.631949340985052,0.7301291862355647
id_reference,A4_train_seed_0,50070,250,0.10030601788847261,0.1,3.765641910070614,5.256869378105566,10.297372400877569,1.0323264608542473
id_reference,A4_train_seed_0,50071,41,0.11580676349507021,0.1,3.0287371317457534,7.3595704253847565,8.891631642577075,1.037614097303052
id_reference,A4_train_seed_0,50072,250,0.11938228640131797,0.1,2.5586508038194697,8.567610604291168,8.017825573641812,0.9585670430791172
