training_seed,checkpoint,successes,episodes,success_rate,success_ci95_low,success_ci95_high,reward_mean,reward_std,final_distance_mean
0,results/sac_residual_5seed_200k/seed_0/best.pt,61,100,0.61,0.5120301704584073,0.6998312599360558,-72.72835055125057,44.65017144291966,0.086286498680129
1,results/sac_residual_5seed_200k/seed_1/best.pt,57,100,0.57,0.47215389549212305,0.6626670147588988,-76.32227715631748,43.67530650464663,0.0859084637844707
2,results/sac_residual_5seed_200k/seed_2/best.pt,63,100,0.63,0.5322052958094291,0.7181763946567546,-74.20143938864604,43.31370606017697,0.08027051236274371
3,results/sac_residual_5seed_200k/seed_3/best.pt,56,100,0.56,0.4622810465167699,0.6532797336983921,-79.96086232436362,59.64660082560978,0.09856513250922325
4,results/sac_residual_5seed_200k/seed_4/best.pt,45,100,0.45,0.3561453797951198,0.5475539700255787,-82.31343889659021,43.13139230820714,0.09277651671851544
