training_seed,episodes,a4_successes,a2_successes,success_difference,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,bootstrap_samples,bootstrap_seed
0,100,13,61,-0.48,-0.6,-0.35,10000,0
1,100,17,57,-0.4,-0.51,-0.29,10000,1
2,100,14,63,-0.49,-0.6,-0.37,10000,2
3,100,16,56,-0.4,-0.51,-0.28,10000,3
4,100,16,45,-0.29,-0.42,-0.17,10000,4
