scenario,controller,seed,steps,command_attempts,safety_infeasible,safety_certified_steps,safety_intervention_steps,unsafe_state_steps,safety_correction_mean,safety_correction_max,safety_correction_sum,safety_constraint_margin_min,uncertainty_scale_mean,uncertainty_scale_min,uncertainty_norm_mean,uncertainty_norm_max,raw_residual_norm_mean,gated_residual_norm_mean,context_latent_norm_mean,context_latent_norm_max
id_randomized_heldout,A6_train_seed_0,40000,250,250,False,250,35,0,0.7404873678455021,9.628723697691113,185.1218419613755,-2.842170943040401e-14,0.10061579845580775,0.1,4.306102564166228,7.856733133963108,8.864211113698518,0.8926444453732418,3.9748945608139037,3.9918339252471924
id_randomized_heldout,A6_train_seed_0,40001,250,250,False,250,33,0,1.5144834426088143,22.334007431940854,378.6208606522036,-2.842170943040401e-14,0.1,0.1,4.886049251630389,12.167644503950877,9.671956812563753,0.9671956812563755,3.9752748737335204,3.9916934967041016
id_randomized_heldout,A6_train_seed_0,40002,250,250,False,250,56,0,0.9229343751413012,20.382285159293833,230.7335937853253,-2.842170943040401e-14,0.10021532282612199,0.1,4.334153946300725,8.459523271139414,8.574460159707924,0.8592891298710026,3.9748497123718263,3.9921281337738037
id_randomized_heldout,A6_train_seed_0,40003,250,250,False,250,37,0,1.0091847998022903,20.242245167441236,252.29619995057254,-2.1316282072803006e-14,0.10011030657525533,0.1,4.844869714380318,8.91549634196581,8.998388545593462,0.9003174294403637,3.9747638273239136,3.9927806854248047
id_randomized_heldout,A6_train_seed_0,40004,250,250,False,250,22,0,1.6448151077901274,27.05876524278545,411.2037769475319,-1.0658141036401503e-14,0.1,0.1,5.033513581381436,10.220667119682885,8.73264868902159,0.8732648689021592,3.9746735868453977,3.9924376010894775
id_randomized_heldout,A6_train_seed_0,40005,250,250,False,250,34,0,2.777250465298594,24.455481050357324,694.3126163246485,-1.4210854715202004e-14,0.1,0.1,5.686439191579535,9.520621195156677,9.329641627407362,0.9329641627407362,3.975293304443359,3.992393970489502
id_randomized_heldout,A6_train_seed_0,40006,250,250,False,250,25,0,2.0463668776562813,24.106466458132314,511.5917194140704,-1.4210854715202004e-14,0.1,0.1,5.133185162032641,11.088953954853187,8.672347822119367,0.8672347822119368,3.974586961746216,3.9918837547302246
id_randomized_heldout,A6_train_seed_0,40007,250,250,False,250,30,0,1.8381775804579294,24.346029938144937,459.54439511448237,-2.1316282072803006e-14,0.1,0.1,3.2134052112658074,8.394939756391295,8.12755964017325,0.812755964017325,3.975153485298157,3.9925310611724854
id_randomized_heldout,A6_train_seed_0,40008,95,95,False,95,20,0,0.529411214893176,6.098266053306191,50.294065414851715,-3.197442310920451e-14,0.10028395651780748,0.1,3.973236342184493,6.393973724228348,8.90323784626219,0.8918402393511203,3.949323832361322,3.992310047149658
id_randomized_heldout,A6_train_seed_0,40009,250,250,False,250,15,0,0.25167076128634097,8.87325424824739,62.91769032158524,-2.842170943040401e-14,0.10116709498645068,0.1,3.589984888864337,6.7268665815492925,9.096564597615597,0.9215040677666441,3.975010572433472,3.9921345710754395
