episode,step,reward,success,final_distance
1,250,-206.35111762679423,0,0.30697165721741776
2,500,-207.54452513343253,0,0.677083432052608
3,750,-221.24809388545307,0,0.5067736107584279
4,854,-46.9219357714212,1,0.03816921055512259
5,1104,-167.71666285388534,0,0.2309032305143033
6,1354,-276.5895387725087,0,0.8662051763332075
7,1604,-229.62109963344312,0,0.5082821604442327
8,1840,-134.32519251378935,1,0.04771490166127114
9,2090,-220.39216391539557,0,0.45870174208557035
10,2340,-146.0269884134079,0,0.2347695575827966
11,2590,-145.4490951895574,0,0.2744952541034047
12,2682,-66.58545980738654,1,0.04874338753463089
13,2932,-301.09713150417144,0,0.5698078000607261
14,3182,-170.2171587421418,0,0.20319784926780077
15,3231,-31.535914702353743,1,0.04842795207049622
16,3481,-256.2037534976867,0,0.3497107310998472
17,3731,-203.91129205708268,0,0.44885756211777605
18,3981,-154.14594005644338,0,0.41075888993067855
19,4231,-193.4181700854022,0,0.2869907353014422
20,4481,-135.48990501266795,0,0.3315297425235054
21,4731,-136.6376353728096,0,0.23310846140882133
22,4981,-319.3073766578862,0,0.5418572734896334
23,5231,-187.42485204412986,0,0.3774625262043215
24,5481,-116.09120070914845,0,0.2863834794070598
25,5731,-146.45505814420173,0,0.21121655927541966
26,5981,-282.8673178816227,0,0.8245404654733899
27,6029,-50.45975153265913,1,0.015086696610867175
28,6279,-194.67535295346283,0,0.26216770804869266
29,6529,-192.72276503708147,0,0.6091039622614047
30,6779,-204.89521873997634,0,0.5425206192089732
31,7029,-220.5441994733008,0,0.7982525356568394
32,7108,-69.21137775069387,1,0.0355699661018766
33,7358,-213.88144276406115,0,0.3985438484974819
34,7608,-126.11227619770155,0,0.10013328981220397
35,7706,-765.6723137808265,0,1.336631727843019
36,7956,-391.3527532408115,0,1.4123407766642542
37,8163,-124.26724836470484,1,0.04937932140136385
38,8413,-219.52674477906103,0,0.42012128417832384
39,8663,-144.37307962030096,0,0.4088442268527441
40,8913,-190.05392036424024,0,0.4252544195823434
41,9163,-197.7939871243582,0,0.2575754780625162
42,9413,-170.09408015059327,0,0.3149172240473188
43,9663,-176.0175539471539,0,0.2963803346407663
44,9913,-104.33882024982621,0,0.263862426573509
45,10163,-167.00439815246008,0,0.6241951887740066
46,10413,-172.11780598001374,0,0.769207335339254
47,10663,-144.61487768718885,0,0.24460948685840417
48,10913,-198.82248121151733,0,0.1394423098012622
49,11163,-346.32883080301013,0,1.084611932657283
50,11413,-271.64389560829625,0,0.635143581482266
51,11663,-347.8015427599794,0,1.3333459258608487
52,11913,-123.31861341381027,0,0.3405767603717974
53,11990,-65.78709915940138,1,0.04869859943341542
54,12240,-155.4524441704809,0,0.447056326462648
55,12490,-106.59417253006959,0,0.0855425550293073
56,12541,-35.149902690550064,1,0.043274620163255846
57,12791,-131.43364258430432,0,0.15761047803424175
58,13041,-64.63275299040399,0,0.10816264403452955
59,13291,-178.32725324932494,0,0.45684069543007977
60,13541,-90.50066474626495,0,0.22402536574591222
61,13791,-400.0761946554533,0,1.2166171525472114
62,14041,-367.5566198497066,0,1.0233019302330857
63,14291,-160.5198858400554,0,0.22180664778654996
64,14541,-116.2868801808244,0,0.39643706441147725
65,14791,-175.55314851771053,0,0.43356053271314077
66,15041,-285.8402143661481,0,0.44208846154133735
67,15291,-222.7421703717551,0,0.1455630889396506
68,15389,-108.1740360087757,1,0.04706031161294502
69,15639,-190.9294567407487,0,0.3930503855486384
70,15889,-247.30495137154276,0,0.10580778056809931
71,15943,-33.22409923464077,1,0.04844522208841201
72,16193,-147.84646473386158,0,0.32289655911982823
73,16443,-179.92901326398186,0,0.40680829333229496
74,16693,-256.49514527195043,0,1.1188348365511391
75,16769,-94.73861693160633,1,0.04526609302476376
76,17019,-89.22548118182893,0,0.20164370937642867
77,17269,-80.75863782638777,0,0.24588606805634397
78,17519,-138.7205712339939,0,0.4030000144288527
79,17769,-143.14214790726575,0,0.3318558292507419
80,18019,-152.5856178549847,0,0.3253685326949951
81,18105,-106.3007109819836,1,0.0494257799906273
82,18355,-144.98050561729715,0,0.21549704333725705
83,18605,-122.66306146749967,0,0.15425441306076662
84,18855,-174.9362824099298,0,0.05303108815787793
85,19105,-107.64198461822308,0,0.14772943833645416
86,19355,-108.47377914931754,0,0.2956447648461994
87,19420,-658.2589644033854,0,0.7158622979711122
88,19670,-154.30488761370378,0,0.08159463116510947
89,19920,-78.88817752512004,0,0.14726283533632895
90,20170,-135.1407606700388,0,0.06493142231950291
91,20420,-206.04654755925216,0,0.18959622400660783
92,20528,-82.55973052175075,1,0.04856101306481451
93,20778,-229.6749987615211,0,0.5370665307741403
94,21028,-169.53517242043455,0,0.08830463155856949
95,21278,-108.74474018601393,0,0.1840197821531353
96,21381,-108.6518747250001,1,0.04955468219661056
97,21456,-113.93055209054694,1,0.0454047241110516
98,21706,-137.73558774888212,0,0.08013471239964055
99,21956,-140.8314463629419,0,0.47016744560676454
100,22206,-130.70732845092527,0,0.06825916706899463
101,22456,-165.74460822405314,0,0.13351324181657664
102,22567,-128.1926162963491,1,0.04162880503837342
103,22817,-79.75955176580564,0,0.2072142188928776
104,23067,-155.1000825002563,0,0.24586190656162507
105,23317,-167.56095290407055,0,0.13768404193627967
106,23567,-141.0256889802935,0,0.2667038920908312
107,23817,-160.85451835923158,0,0.13513333690144508
108,24067,-90.95928503550529,0,0.09322537810564241
109,24317,-102.07609069781931,0,0.12740069235065635
110,24567,-83.09952110988658,0,0.20203924053427819
111,24817,-198.20427497187404,0,0.4066964235654931
112,25067,-135.91681814289603,0,0.09214416745778688
113,25170,-138.4419243579655,1,0.013370850381840374
114,25420,-111.94682398559583,0,0.2758980601287752
115,25588,-61.99045837300453,1,0.0490609798554246
116,25838,-105.30820463681502,0,0.26917541459705774
117,26088,-147.1207526816694,0,0.35316342560557595
118,26338,-93.39431319948838,0,0.18329438513423651
119,26588,-173.39807624470356,0,0.5844547176538654
120,26838,-339.31875376260024,0,0.24283362300397393
121,27088,-80.15345540552042,0,0.16333548113791965
122,27338,-165.17802519073928,0,0.6900291428082782
123,27588,-215.67193656224393,0,0.07834338478967079
124,27838,-242.2158334285281,0,0.19475385202591902
125,27896,-669.9526542418122,0,2.166060763000586
126,28146,-151.44687051256878,0,0.11022873660535178
127,28245,-47.84399720959536,1,0.043698423608346595
128,28495,-86.24340795798764,0,0.17096978340846278
129,28745,-322.0280913010858,0,0.5480352182267263
130,28995,-83.24186784364963,0,0.24912014142347622
131,29245,-116.30802900355475,0,0.09955431256219988
132,29495,-108.05874174165538,0,0.05762305342247108
133,29745,-240.7300374370035,0,0.21542525360284467
134,29995,-230.7281251040984,0,0.36272448029234494
135,30245,-71.43822449048714,0,0.09950614300533007
136,30495,-242.49100830396773,0,0.261123142585859
137,30745,-158.57481624134442,0,0.38294827022128913
