scenario,controller,seed,reward,steps,success,final_distance,max_speed,max_command_torque,fault_seen
nominal,computed_torque_zero_residual,1000,-105.62321449575889,70,True,0.04808988706246878,16.679966705148114,40.0,False
nominal,computed_torque_zero_residual,1001,-56.2510855793315,53,True,0.038157115269849246,20.01096068011904,40.0,False
nominal,computed_torque_zero_residual,1002,-28.941173322010187,50,True,0.04644617035113067,5.962652303137767,40.0,False
nominal,computed_torque_zero_residual,1003,-22.86836096179228,42,True,0.04649954350892703,7.759809763370745,40.0,False
nominal,computed_torque_zero_residual,1004,-64.60540513939411,55,True,0.041194805316581894,19.892341219663972,40.0,False
nominal,computed_torque_zero_residual,1005,-24.38763380595614,44,True,0.04721384573860804,6.801277202322165,40.0,False
nominal,computed_torque_zero_residual,1006,-106.55598728313636,67,True,0.045363029359761,17.884374595231556,40.0,False
nominal,computed_torque_zero_residual,1007,-45.27469129553797,49,True,0.0492929103658231,19.0322378847021,40.0,False
nominal,computed_torque_zero_residual,1008,-26.61563353669829,48,True,0.04819388822613255,6.442353214356517,40.0,False
nominal,computed_torque_zero_residual,1009,-31.357162514373268,40,True,0.037539824812231705,17.359165620392847,40.0,False
nominal,computed_torque_zero_residual,1010,-116.98786381705133,67,True,0.040368631161050134,20.550683147578106,40.0,False
nominal,computed_torque_zero_residual,1011,-21.70500548741869,46,True,0.04715002668735457,5.349120226373425,40.0,False
nominal,computed_torque_zero_residual,1012,-42.85320563108709,54,True,0.04901758358162029,7.133266656627358,40.0,False
nominal,computed_torque_zero_residual,1013,-42.50430635023747,50,True,0.03675431209246836,17.685290025988255,40.0,False
nominal,computed_torque_zero_residual,1014,-40.64053973146949,54,True,0.04793214173875358,7.223639649392123,40.0,False
nominal,computed_torque_zero_residual,1015,-46.02261562297436,49,True,0.04389951398343438,19.76156742835145,40.0,False
nominal,computed_torque_zero_residual,1016,-25.1902680164757,38,True,0.047031370140532686,11.430850589701997,40.0,False
nominal,computed_torque_zero_residual,1017,-52.39939305990277,52,True,0.0414946652031428,19.152990951354617,40.0,False
nominal,computed_torque_zero_residual,1018,-98.01701074661901,62,True,0.04914131046486491,18.398450164534744,40.0,False
nominal,computed_torque_zero_residual,1019,-39.444835915608124,54,True,0.04863268108777572,7.227745265182853,40.0,False
nominal,computed_torque_zero_residual,1020,-104.04247427443875,68,True,0.047851191624946506,17.941039356397905,40.0,False
nominal,computed_torque_zero_residual,1021,-34.896636813721344,50,True,0.04878321683668435,6.960672923280081,40.0,False
nominal,computed_torque_zero_residual,1022,-65.25277764303183,53,True,0.04679020167737079,20.536798800641485,40.0,False
nominal,computed_torque_zero_residual,1023,-51.68015197861055,57,True,0.04642885402138317,8.379510080432789,40.0,False
nominal,computed_torque_zero_residual,1024,-52.87127809649022,51,True,0.04903092163456819,18.118005296035836,40.0,False
nominal,computed_torque_zero_residual,1025,-4.344974552678789,39,True,0.04261783122167041,3.19019533245301,18.208406448364258,False
nominal,computed_torque_zero_residual,1026,-53.69001422400156,52,True,0.04625994528762724,17.852352129692846,40.0,False
nominal,computed_torque_zero_residual,1027,-13.46719123878229,43,True,0.0489733329346905,4.514746683250092,21.47962188720703,False
nominal,computed_torque_zero_residual,1028,-95.36988331308643,67,True,0.047596024637375764,16.442077538832724,40.0,False
nominal,computed_torque_zero_residual,1029,-51.40784794615697,57,True,0.039727588620511206,14.949800986978659,40.0,False
nominal,computed_torque_zero_residual,1030,-25.95968568099283,50,True,0.04483775931508203,5.909310477448019,40.0,False
nominal,computed_torque_zero_residual,1031,-51.891517127096705,54,True,0.047917729765428754,10.65441273105071,40.0,False
nominal,computed_torque_zero_residual,1032,-81.67598361965334,63,True,0.04741649016195115,17.745427546529115,40.0,False
nominal,computed_torque_zero_residual,1033,-58.950783501972836,58,True,0.048604318486421404,14.075467362285728,40.0,False
nominal,computed_torque_zero_residual,1034,-27.37253054433237,50,True,0.03944714939622797,6.090811040110203,40.0,False
nominal,computed_torque_zero_residual,1035,-53.48650197622167,54,True,0.04830666201445003,13.371435833523396,40.0,False
nominal,computed_torque_zero_residual,1036,-17.885491910728614,41,True,0.04801223697036665,6.089019020686753,40.0,False
nominal,computed_torque_zero_residual,1037,-63.41649619801108,53,True,0.04644702764432727,19.750770183269502,40.0,False
nominal,computed_torque_zero_residual,1038,-79.33841553779783,59,True,0.046616548056196014,16.407570695391726,40.0,False
nominal,computed_torque_zero_residual,1039,-102.24561015701788,67,True,0.047261970831809996,18.37473560737508,40.0,False
nominal,computed_torque_zero_residual,1040,-48.122676296482176,50,True,0.047752534858564594,18.467772617240076,40.0,False
nominal,computed_torque_zero_residual,1041,-59.94102389572704,59,True,0.04068731744411403,16.910477389508245,40.0,False
nominal,computed_torque_zero_residual,1042,-66.6465344604263,54,True,0.04339164137363288,19.983672336348185,40.0,False
nominal,computed_torque_zero_residual,1043,-5.826482741998616,41,True,0.037855558877561854,3.8462405587504787,24.107372283935547,False
nominal,computed_torque_zero_residual,1044,-15.422435865598857,44,True,0.04713119745016707,4.655441512048193,17.49336814880371,False
nominal,computed_torque_zero_residual,1045,-112.68811711819512,67,True,0.043342057740623996,20.46670130259846,40.0,False
nominal,computed_torque_zero_residual,1046,-43.22587493590679,55,True,0.04610117245942864,9.440965793112856,40.0,False
nominal,computed_torque_zero_residual,1047,-52.33805870411314,51,True,0.049618320359526354,16.281999886427126,40.0,False
nominal,computed_torque_zero_residual,1048,-69.45310033363883,54,True,0.047936634244871545,19.214257427786226,40.0,False
nominal,computed_torque_zero_residual,1049,-32.137547092185244,45,True,0.04967029906919678,15.207244714885384,40.0,False
nominal,computed_torque_zero_residual,1050,-23.53114766281405,49,True,0.0407323001361033,5.162247205177075,40.0,False
nominal,computed_torque_zero_residual,1051,-59.21160452470289,53,True,0.04801227198385455,17.349819910948394,40.0,False
nominal,computed_torque_zero_residual,1052,-49.017791426529,57,True,0.04688068025777799,9.419006718579007,40.0,False
nominal,computed_torque_zero_residual,1053,-6.7671580301528405,37,True,0.04924982850152523,2.118414526025061,40.0,False
nominal,computed_torque_zero_residual,1054,-56.515803553761316,52,True,0.04592529240267391,19.742880908647493,40.0,False
nominal,computed_torque_zero_residual,1055,-26.601114858067646,37,True,0.04159483782070727,14.799486405454163,40.0,False
nominal,computed_torque_zero_residual,1056,-58.29647273394374,58,True,0.049224953786595436,14.403964104667594,40.0,False
nominal,computed_torque_zero_residual,1057,-40.4133980017866,55,True,0.041546218708542394,8.294142214797686,40.0,False
nominal,computed_torque_zero_residual,1058,-49.714691385928745,50,True,0.044534180947815964,21.259361538765457,40.0,False
nominal,computed_torque_zero_residual,1059,-49.7102875316518,57,True,0.047622917451296605,10.531924727238163,40.0,False
nominal,computed_torque_zero_residual,1060,-23.45289074736104,44,True,0.04834690409755123,6.163926546475327,40.0,False
nominal,computed_torque_zero_residual,1061,-7.419918436762437,42,True,0.0408936393171565,4.059734707564018,19.2918643951416,False
nominal,computed_torque_zero_residual,1062,-44.22272128991437,53,True,0.03597280201908165,14.179722808371185,40.0,False
nominal,computed_torque_zero_residual,1063,-25.6310119634377,44,True,0.04886048944497749,11.586145200197128,40.0,False
nominal,computed_torque_zero_residual,1064,-34.878178828291716,47,True,0.04753063148447065,15.23488462677838,40.0,False
nominal,computed_torque_zero_residual,1065,-37.90034274821612,47,True,0.047890595052092505,17.722521998093523,40.0,False
nominal,computed_torque_zero_residual,1066,-5.182312314378924,40,True,0.03948111354305036,3.4876426889692427,19.563465118408203,False
nominal,computed_torque_zero_residual,1067,-28.257942722568174,48,True,0.049298472490080375,6.134115230430468,40.0,False
nominal,computed_torque_zero_residual,1068,-22.675797370259232,41,True,0.046226807652035365,11.247279029903865,40.0,False
nominal,computed_torque_zero_residual,1069,-55.155790808374476,58,True,0.043098292688929486,13.683948193474832,40.0,False
