seed,target_x,target_y,success,steps,reward,distance
1000,0.22056394930972237,-1.4806459072764662,1,56,-43.97041651908461,0.04024208049575694
1001,-0.5714790392636309,0.24430010218635062,1,51,-53.12065698478911,0.042969900008323035
1002,1.0813811815920502,-1.2561623409583844,1,45,-15.437999787223724,0.041072329741484
1003,-0.325687420206901,-0.6557165804885037,1,61,-82.74548632769287,0.049346433830500774
1004,-0.054550221398270156,-1.2831162621456589,1,57,-49.75411414781536,0.0454281126757562
1005,-0.48301369627887514,-1.6069473762040016,1,57,-51.79809522127151,0.036740611959150994
1006,0.05253986799195191,1.5709064928615695,1,50,-44.89505256445759,0.044341950299446896
1007,1.505852576497831,-0.12910169266731814,1,41,-5.9163030297264445,0.04105418897357887
1008,-0.08840731407113044,-0.6900210931447357,1,55,-45.88649009198178,0.047768814657356835
1009,-1.3357254745218767,-0.9882245214672738,1,66,-110.59919436561212,0.045783070436587026
1010,-0.40690573043495454,0.6765430552843429,1,48,-41.85557167648931,0.046995621563129565
1011,0.36129643080973234,-0.33141449901322967,1,54,-46.32884850280667,0.049212504402585185
1012,-0.12287854361731519,-1.39699360886907,1,57,-53.08311559939198,0.04503326521626276
1013,-0.7755939428960615,-0.7726252862889703,1,61,-81.26778348441752,0.047565632875724705
1014,1.4079216098840612,-0.2818978768097648,1,42,-12.40156107279076,0.045995845348197756
1015,-0.3975418876142139,-0.6753379099400098,1,63,-88.69100988681343,0.04683439589659821
1016,-0.8457457019009655,-0.33857896501619844,1,54,-63.10455556119539,0.04559755228527201
1017,-0.5077687558853916,0.6728804700598507,1,49,-44.49985804548647,0.046183854371702075
1018,0.8210247443202091,1.2497830254806805,1,43,-22.825304418819016,0.047556184148351756
1019,1.3008093715015392,-0.26068956978481617,1,43,-10.843411042123561,0.04651016694460533
1020,0.254377571219982,1.5662054099890903,1,48,-36.06795099044602,0.0450570665879452
1021,-1.1708719784432213,-0.8862312782496372,1,65,-98.7283420013243,0.04610908075680836
1022,-0.4969256701791106,0.8197678899444912,1,49,-44.33238293455146,0.04648271284113373
1023,-0.3142742019967599,-0.8813843507770415,1,58,-55.629792605985024,0.04748873452135705
1024,1.393241453448897,-0.6673906348845635,1,45,-19.60782777210916,0.04536914771896592
1025,-0.2668421651052068,0.6964937106856768,1,48,-44.090699493895656,0.04548341185231078
1026,1.3563622291145818,-0.494620679952637,1,43,-10.18450668061715,0.041608954520832214
1027,0.613405329883678,0.9270960675420297,1,40,-24.45188625818664,0.047505965139367806
1028,0.2633220060292118,-1.053078874435787,1,54,-61.08096075089801,0.04686322121726483
1029,-0.7242049202295925,1.2484832099491354,1,52,-59.45185172231707,0.048512795785411955
1030,0.24516396558152168,1.118850293675833,1,47,-38.727124301876756,0.04848743833428302
1031,-0.2701444940524711,-0.6875641392846711,1,56,-51.516406152627056,0.047053954689837474
1032,1.0801555498309858,-0.21836169086780635,1,45,-15.636490623628067,0.04729154331391651
1033,1.053307140195865,0.4731650903550765,1,44,-16.421430672821508,0.0483735500783947
