arm,scenario,seed,origin,plant,outcome,steps,final_distance,reward,max_speed,max_command_torque,fault_seen,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,model_fallbacks,prediction_fallbacks,model_fallback_steps,control_steps,selected_time_constant,true_time_constant,true_armature,prediction_error_rms_joint1,prediction_error_rms_joint2
fixed,id_reference,50013,official,analytical,timeout,250,0.5621969871307222,-219.08857400397198,11.246688014031768,40.0,False,False,True,0.6066697162902526,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50013,official,mujoco,timeout,250,0.5632177066114883,-218.6804939994381,11.266760352523413,40.0,False,False,True,0.6095371932176303,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50014,official,analytical,timeout,250,0.6388040846029872,-277.061137587172,17.339258429182756,40.0,False,False,True,1.4770369184546794,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50014,official,mujoco,timeout,250,0.6403222666633788,-277.8384059032319,17.45315581627512,40.0,False,False,True,1.4933079737535886,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50015,official,analytical,timeout,250,0.7265440873967471,-255.92222099939636,10.990156114057692,40.0,False,False,True,0.5700223020082418,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50015,official,mujoco,timeout,250,0.728780572879026,-255.78243885912013,11.012289200357054,40.0,False,False,True,0.5731841714795791,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50016,official,analytical,timeout,250,0.7836395110825997,-246.19665869656887,10.629525649433397,40.0,False,False,True,0.5185036642047709,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50016,official,mujoco,timeout,250,0.7850896462941863,-245.6893044605665,10.657191798559765,40.0,False,False,True,0.5224559712228236,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50017,official,analytical,timeout,250,0.2583046068787902,-133.15899122851167,8.722534845070244,40.0,False,False,True,0.3387310945703578,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50017,official,mujoco,timeout,250,0.2567631414460015,-132.8345312311437,8.702972303078019,40.0,False,False,True,0.33814258562493915,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50018,official,analytical,timeout,250,0.11234763800158123,-134.34969517295656,11.933835737310028,40.0,False,False,True,0.7048336767585754,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50018,official,mujoco,timeout,250,0.1125238104994395,-134.20259117440128,11.961614749398846,40.0,False,False,True,0.7088021070569781,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50019,official,analytical,timeout,250,0.46613719124472114,-211.36762646692162,12.714495018126794,40.0,False,False,True,0.8163564311609706,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50019,official,mujoco,timeout,250,0.46757745341845713,-210.91753474235279,12.720417010087226,40.0,False,False,True,0.817202430012461,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50020,official,analytical,timeout,250,0.8187846259032392,-255.1582019793102,1.3726118984632238,40.0,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50020,official,mujoco,timeout,250,0.8181520024382788,-255.09544865494897,1.3712587867328598,40.0,False,False,False,0.0,False,0.0,1,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50021,official,analytical,timeout,250,0.31825037141780754,-130.15698344634885,2.454973715071953,29.161571502685547,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50021,official,mujoco,timeout,250,0.315909345620644,-129.8890600623555,2.4481132097864853,29.155908584594727,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.0,0.0,,
fixed,id_reference,50022,official,analytical,timeout,250,0.38987085936953725,-190.2033066922876,11.984269933301649,40.0,False,False,True,0.7120385619002356,False,0.0,2,,,0,0,0,0,,0.0,0.0,,
