comparison,metric,difference,ci95_low,ci95_high,bootstrap_seed,bootstrap_samples
A4c_vs_A2,success,-0.17199999999999999,-0.25,-0.096000000000000002,150001,10000
A6c_vs_A3,success,-0.21199999999999999,-0.30599999999999999,-0.11799999999999999,150001,10000
