population,condition,training_seed,ensemble_seed,scenario,episode_seed,attempts,uncertainty_norm_median,uncertainty_ratio_median,selected_scale_mean,selected_scale_min
heldout,A4c,0,0,id_reference,40000,250,4.124976044753291,0.9828212422647431,0.49986042968766453,0.35880746648416012
heldout,A4c,0,0,id_reference,40001,250,4.5601623667003395,1.0865092047916147,0.46921919154503855,0.23118361561847103
heldout,A4c,0,0,id_reference,40002,250,4.0585228534799667,0.96698803322519544,0.49497795486194457,0.28679923615980096
heldout,A4c,0,0,id_reference,40003,250,6.7944450639912333,1.6188518104935568,0.39230858717591183,0.28640139244813922
heldout,A4c,0,0,id_reference,40004,63,6.5062014898428844,1.5501745855725444,0.39004626300571005,0.21516360503416682
heldout,A4c,0,0,id_reference,40005,250,5.404455323290664,1.2876713554147474,0.42218544405608177,0.19948599430305688
heldout,A4c,0,0,id_reference,40006,75,5.4829968813070922,1.3063847517549028,0.41385281838430699,0.26434247129293026
heldout,A4c,0,0,id_reference,40007,250,3.2642714455621546,0.77774883597138644,0.52276433444426207,0.20278593554922922
heldout,A4c,0,0,id_reference,40008,59,4.4017665924466201,1.0487696567475637,0.5050220935377856,0.35795949668775712
heldout,A4c,0,0,id_reference,40009,37,4.0985767523737291,0.97653131838399898,0.50680396901195068,0.38244026653907415
heldout,A4c,0,0,id_reference,40010,250,3.187944254813063,0.75956303716510831,0.55200637229345173,0.376591100998177
heldout,A4c,0,0,id_reference,40011,39,5.1518867755266173,1.2274941007647004,0.44032646608191839,0.31069494950020266
heldout,A4c,0,0,id_reference,40012,250,4.133404805414143,0.98482948787237212,0.47998477255761735,0.26065736012502544
heldout,A4c,0,0,id_reference,40013,82,4.9291616365072199,1.1744273688759037,0.4950676359973582,0.3097380440279533
heldout,A4c,0,0,id_reference,40014,66,4.2544945530155065,1.0136804617621402,0.5224935442518388,0.36553222323594659
heldout,A4c,0,0,id_reference,40015,250,4.5963140663312458,1.0951227477445302,0.47589012057767938,0.3295776935459131
heldout,A4c,0,0,id_reference,40016,81,4.1001755987699928,0.97691226125113761,0.50164551354375431,0.42950980909638947
heldout,A4c,0,0,id_reference,40017,60,5.0747031002981817,1.2091042350424361,0.43871682984053456,0.20680527291829751
heldout,A4c,0,0,id_reference,40018,67,5.6037227689751683,1.3351490319844499,0.40697815152354438,0.19015724748217838
heldout,A4c,0,0,id_reference,40019,37,3.6229689700983263,0.8632124951144089,0.53547777465376289,0.39186587062313555
heldout,A4c,0,0,id_reference,40020,65,3.5520612524521695,0.84631794581592412,0.53853913229403227,0.36704528793226954
heldout,A4c,0,0,id_reference,40021,250,4.9045430039914315,1.1685617069351995,0.46311592774331939,0.42200807473320162
heldout,A4c,0,0,id_reference,40022,250,6.0770776654796368,1.4479310802599434,0.4111678972064452,0.26053572230373939
heldout,A4c,0,0,id_reference,40023,250,2.5460387309014534,0.60662193457862257,0.55789359643223424,0.20491191688783975
heldout,A4c,0,0,id_reference,40024,250,3.9397097083592767,0.93867948509837074,0.51674413974075417,0.47346976752018166
heldout,A4c,0,0,id_reference,40025,250,3.422319569477084,0.81540555247068747,0.53767941593032009,0.30689583547995991
heldout,A4c,0,0,id_reference,40026,250,4.5637526766582415,1.0873646359152522,0.49077574533241525,0.39350256147326812
heldout,A4c,0,0,id_reference,40027,62,7.1498707271639264,1.7035359124185774,0.37152771013011709,0.17606386226790066
heldout,A4c,0,0,id_reference,40028,51,3.1942032668800793,0.76105431613214114,0.5445144581909156,0.42484434214564371
heldout,A4c,0,0,id_reference,40029,73,7.3493797599669817,1.7510711497957592,0.34095519809527053,0.13812572182157473
heldout,A4c,0,0,id_reference,40030,67,5.1351020543006136,1.2234949549787775,0.45264697197567011,0.32413388340388993
heldout,A4c,0,0,id_reference,40031,59,3.1089627189600608,0.74074481123098224,0.5511456042389582,0.29976478722687627
heldout,A4c,0,0,id_reference,40032,250,4.2581053722448843,1.0145407794469241,0.49738635716337037,0.41682564347459433
heldout,A4c,0,0,id_reference,40033,250,4.4454032591026964,1.0591665760183477,0.49479181905038927,0.38769058296327458
heldout,A4c,0,0,id_reference,40034,38,4.2813412183162942,1.0200769771977019,0.51243290779516315,0.3823457123373718
heldout,A4c,0,0,id_reference,40035,250,4.4395293115406895,1.0577670429356689,0.48066774776026761,0.39145739432871079
