population,condition,training_seed,scenario,controller,seed,reward,steps,success,final_distance,max_speed,max_command_torque,fault_seen
heldout,A4c,0,id_reference,A4c_train_seed_0,40000,-123.23241113691597,250,false,0.21369471845229052,6.5471150632340009,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40001,-122.40647663202927,250,false,0.25994164386116198,11.511386667564006,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40002,-222.45572538302162,250,false,0.31894636477578969,19.277428955557401,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40003,-138.99204280578093,250,false,0.21484606611766599,13.35291308399907,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40004,-70.899180481005146,63,true,0.038567447063091169,14.755030362476772,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40005,-91.532207370738703,250,false,0.081747562827279477,10.299882071294515,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40006,-70.162814989228423,75,true,0.049483201275879185,12.096521176550111,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40007,-114.74747249185026,250,false,0.090945878461957258,11.350157024096736,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40008,-31.419630298615253,59,true,0.047063227228746118,7.1864564387194303,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40009,-24.16510956893433,37,true,0.049141963739948807,8.2670163484490153,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40010,-99.879163851851047,250,false,0.1592765293122955,7.5458142818731693,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40011,-23.212907238434155,39,true,0.047909403271754525,11.589283131320418,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40012,-104.91556547499432,250,false,0.10293478286343752,10.658674063098427,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40013,-99.994557568729689,82,true,0.048456170749437352,9.5733540654839562,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40014,-38.244566574529728,66,true,0.049539314841058314,6.3744343333601385,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40015,-245.30314226072562,250,false,0.81891960576922351,9.5426963671479665,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40016,-46.721192898742828,81,true,0.049279789924437149,3.5913100173209873,32.299503326416016,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40017,-57.674403853340095,60,true,0.048918142515447641,14.989964495554695,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40018,-82.243625929288868,67,true,0.049778928225551064,11.044096242236693,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40019,-21.575112629334718,37,true,0.017745462418721714,8.3717605448780894,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40020,-56.051230427852119,65,true,0.039194943976777176,6.0876388420260605,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40021,-126.99151549657554,250,false,0.32590450540526683,4.9290622633633792,39.610736846923828,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40022,-260.88735076154376,250,false,0.7642859245116348,11.188409836284826,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40023,-167.10587252540577,250,false,0.12004925056972439,10.409686917654916,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40024,-71.610168184636734,250,false,0.14053141080973028,5.3230461668385214,35.69000244140625,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40025,-139.5182544500006,250,false,0.19476881318518127,11.367654188731198,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40026,-93.057608891995912,250,false,0.1772879544747881,7.1890940479187044,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40027,-84.81017255828796,62,true,0.042029836837035567,11.899395521600063,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40028,-29.264290827811873,51,true,0.042343423395343839,7.4752501769221622,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40029,-135.1675030990362,73,true,0.018529687895470024,12.389411615412076,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40030,-63.931605913709554,67,true,0.049311208528235589,15.216818296106451,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40031,-67.986657702672545,59,true,0.025487697940688562,10.628266954900136,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40032,-99.636298902118114,250,false,0.27245448556921853,5.0288993145054297,36.503395080566406,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40033,-66.314083819091266,250,false,0.066267702025708461,8.5062395803380859,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40034,-27.746484206164126,38,true,0.026870961582934672,8.6870017311555898,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40035,-102.78289808964355,250,false,0.24603161112525809,5.4544042925716276,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40036,-197.75270411778078,250,false,0.50746140336295686,10.003796135537151,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40037,-102.77448018663941,250,false,0.11304552657304422,17.505516199752144,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40038,-105.22621487990797,250,false,0.19122778275958707,3.1473383341349472,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40039,-121.82161239419318,250,false,0.28787707654626082,3.695073374466979,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40040,-46.231687188692156,250,false,0.05783383029100797,4.7732328494501104,36.86273193359375,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40041,-284.94885893439823,250,false,0.59282392292906028,10.240535337209465,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40042,-102.2693449388551,250,false,0.16696695550460869,9.7370375967369078,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40043,-67.780790999044754,79,true,0.028988901993388022,6.9571915697737694,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40044,-59.276237772111344,81,true,0.049723379923629775,10.361478719910471,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40045,-75.679091307323887,103,true,0.049379457561772033,9.9365323126502965,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40046,-99.903222250042745,93,true,0.046985499093760472,13.337010547577938,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40047,-156.54614779685491,250,false,0.14851080056162166,12.101036961627424,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40048,-23.329084927465367,49,true,0.048540653880342705,11.464024583657029,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40049,-153.24533919537151,250,false,0.36288262292590828,10.168761926302503,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40050,-84.557471097220059,250,false,0.14496472168766367,6.3984250314920086,37.354686737060547,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40051,-83.084969924026112,250,false,0.10430123421674319,8.658173868346136,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40052,-73.825558460832681,60,true,0.036711443854135613,11.260799479557019,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40053,-29.414349249405923,41,true,0.049602732976562813,4.3720784722393917,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40054,-157.7050120637727,250,false,0.065367994513783556,9.0542039482722707,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40055,-45.777461241133437,61,true,0.04855603009755205,11.3055118937363,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40056,-2.3944853227043748,24,true,0.046136030382971406,3.2265637857587337,33.505245208740234,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40057,-73.071677908944508,86,true,0.049521068539052505,12.48670475076352,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40058,-235.74704596562557,250,false,0.73884638533309466,7.411251513503851,40,false
heldout,A4c,0,id_reference,A4c_train_seed_0,40059,-89.42824679075234,250,false,0.13629270463847276,2.8909834575564548,38.502426147460938,false
