arm,scenario,seed,origin,plant,outcome,steps,final_distance,reward,max_speed,max_command_torque,fault_seen,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,model_fallbacks,prediction_fallbacks,model_fallback_steps,control_steps,selected_time_constant,true_time_constant,true_armature,residual_rms,obstacle_present,obstacle_violation_max_m,obstacle_contact,obstacle_contact_steps,obstacle_contact_geoms,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,first_unsafe_step,prediction_error_rms_joint1,prediction_error_rms_joint2
adaptive_hocbf,id_reference,52208,official,mujoco,success,82,0.046657011387845275,-152.79777788318646,5.579946213459908,40.0,False,True,False,0.0,False,0.2682926829268293,2,2,77,0,0,0,82,0.03,0.019632798059159698,0.03632589607592091,,False,0.0,False,0,(),0.0,0.0,-1,1.4056597356458291,2.774541899517636
fixed_hocbf,id_reference,52209,official,mujoco,timeout,250,0.5353337419600628,-193.90703138793188,3.214476543290155,40.0,False,False,False,0.0,False,0.14,2,,,0,0,0,0,,0.04698144424227357,0.044122711173164936,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52209,official,mujoco,success,69,0.048416270923498844,-68.3986763688048,5.194301700018673,40.0,False,True,False,0.0,False,0.36231884057971014,2,2,17,0,0,0,69,0.06,0.04698144424227357,0.044122711173164936,,False,0.0,False,0,(),0.0,0.0,-1,3.6876637658892837,0.35537702358730117
fixed_hocbf,id_reference,52210,official,mujoco,timeout,250,0.18298168414336227,-132.28753946806503,5.368337994570048,40.0,False,False,False,0.0,False,0.08,1,,,0,0,0,0,,0.01933451427804056,0.02106939929258691,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52210,official,mujoco,success,67,0.046870754404727204,-85.3432882473119,6.0777630573895465,40.0,False,True,False,0.0,False,0.26865671641791045,1,1,47,0,0,0,67,0.03,0.01933451427804056,0.02106939929258691,,False,0.0,False,0,(),0.0,0.0,-1,7.01209867217058,0.3348034561358997
fixed_hocbf,id_reference,52211,official,mujoco,timeout,250,0.8540652598846555,-299.0901531087438,2.652103011203026,40.0,False,False,False,0.0,False,0.208,2,,,0,0,0,0,,0.045657157806192776,0.06516824892297488,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52211,official,mujoco,success,79,0.04820732954702668,-96.0590591770391,5.357556336872972,40.0,False,True,False,0.0,False,0.3291139240506329,2,2,7,1,0,1,79,0.06,0.045657157806192776,0.06516824892297488,,False,0.0,False,0,(),0.0,0.0,-1,4.717970609543573,2.3265636750858967
fixed_hocbf,id_reference,52212,official,mujoco,timeout,250,0.3156366993803496,-116.46417523023003,3.4550772137361854,40.0,False,False,False,0.0,False,0.048,0,,,0,0,0,0,,0.04953917645375021,0.06356972110015507,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52212,official,mujoco,success,50,0.022523659172593132,-33.05591393191213,4.878915429386272,40.0,False,True,False,0.0,False,0.26,0,0,19,0,0,0,50,0.06,0.04953917645375021,0.06356972110015507,,False,0.0,False,0,(),0.0,0.0,-1,2.298624121795637,0.8390313208423471
fixed_hocbf,id_reference,52213,official,mujoco,timeout,250,0.3619760479953882,-115.44824916685472,3.8031557825778077,40.0,False,False,False,0.0,False,0.04,2,,,0,0,0,0,,0.03757797131981217,0.038734145378883644,,False,0.0,False,0,(),0.0,0.0,-1,,
