episode,step,reward,success,final_distance
1,250,-137.97265933427232,0,0.13748167176807294
2,328,-61.73700551319325,1,0.024178274975876247
3,578,-64.92234295033631,0,0.20001497817304917
4,652,-61.6208784690846,1,0.04587416953026595
5,902,-140.12939231792788,0,0.323486315000875
6,1152,-163.08859050908652,0,0.22058540019028072
7,1402,-72.56422221014941,0,0.1036089590492727
8,1461,-85.54135785904691,1,0.048810038644931296
9,1711,-202.23084988068905,0,0.5448312183296576
10,1880,-82.96889840453808,1,0.030742288450795095
11,1938,-26.292169231798226,1,0.044192509079584545
12,2188,-130.0038373010508,0,0.5106647811743046
13,2438,-226.11025875723934,0,0.6381201019662447
14,2526,-49.92759815808536,1,0.032224746216262735
15,2776,-247.6219635702109,0,0.7355001775751071
16,3007,-99.57723818390673,1,0.049251832068460226
17,3257,-252.23582193726537,0,0.706144852697025
18,3507,-127.68117684807366,0,0.18340493836291333
19,3757,-101.15298318037618,0,0.10604046840261018
20,3964,-82.39425155285963,1,0.024980494792342097
21,4040,-46.43627790217759,1,0.0329417324537873
22,4290,-301.76482173152334,0,0.8580464645822604
23,4540,-222.31788058081034,0,0.472322567019058
24,4605,-90.0324092148601,1,0.03152058525132643
25,4855,-124.46461042576146,0,0.5881085992059655
26,5105,-163.74777767912684,0,0.3200579844157401
27,5355,-274.38617884389373,0,0.7960545288381689
28,5605,-204.94543141402798,0,0.37517535116617307
29,5855,-155.84621334887228,0,0.12753015361765627
30,6105,-175.5132858212086,0,0.4191010992154856
31,6355,-255.47549362961362,0,0.6444671119464945
32,6605,-212.91514050180993,0,0.7218759608639255
33,6855,-149.4764343307169,0,0.40004851543972814
34,7105,-266.87711284379,0,1.0593045729183235
35,7231,-84.07700474628663,1,0.03976808633371901
36,7481,-328.8338090389232,0,0.4590404915627282
37,7731,-160.3004069139131,0,0.5216945038010229
38,7981,-145.0003874734442,0,0.5095741391700553
39,8231,-183.422022535038,0,0.42501789937797446
40,8481,-160.8407816044644,0,0.4112077763058615
41,8731,-303.7131566798873,0,0.3780184924859565
42,8981,-173.88954586478792,0,0.47463653073973017
43,9231,-137.4794786816493,0,0.14278675680890315
44,9481,-117.7970117028459,0,0.1933161865095485
45,9731,-253.31771600334298,0,0.8972279760289678
