episode,step,safety_infeasible,command_attempts,safety_certified_steps,safety_intervention_steps,safety_correction_sum,safety_correction_max
1,250,0,250,250,34,724.8000987373528,32.81030535257584
2,410,0,160,160,34,81.99508946427571,5.38859887538196
3,660,0,250,250,32,620.0142094076274,32.80644075336359
4,801,0,141,141,20,327.1983559997664,30.720409130729657
5,1051,0,250,250,94,778.9121382616321,30.41984128879381
6,1301,0,250,250,51,459.0731172999804,22.256351771662647
7,1551,0,250,250,66,141.04310502723527,5.219850505300797
8,1801,0,250,250,53,141.78611025791,10.39200513979829
9,2050,0,249,249,106,988.1751720295434,33.985932428820185
10,2300,0,250,250,97,372.06403116086545,26.794952366712458
11,2550,0,250,250,117,695.9384776596469,22.88450201953217
12,2800,0,250,250,65,182.38580857359344,8.587488785885
13,2904,0,104,104,16,241.9929423233257,31.797129021027864
14,3154,0,250,250,88,1014.5683383963045,32.03654686467572
15,3205,0,51,51,9,21.405793412693427,5.358549550735068
16,3297,0,92,92,24,47.66757528842686,6.889841727548533
17,3359,0,62,62,15,45.4930211874747,5.354334500989187
18,3609,0,250,250,103,341.24252198743903,14.460704418711998
19,3859,0,250,250,11,37.67607925356564,8.844713849395442
20,4109,0,250,250,121,2417.8257868007054,31.875818268091326
21,4359,0,250,250,77,1313.8916163289869,32.712565258095786
22,4609,0,250,250,53,101.43865522115058,5.352124617552976
23,4672,0,63,63,14,38.442336153002685,7.3458273712239315
24,4922,0,250,250,67,1457.6877067393552,31.57859299223856
25,5172,0,250,250,121,675.878782293936,27.13252262899695
26,5422,0,250,250,48,780.1145377139612,31.114077886901633
27,5590,0,168,168,22,50.19913317529752,5.986557698309456
28,5840,0,250,250,80,846.0036422064962,32.840325776688324
29,5875,1,35,34,34,758.0581290857024,30.61596040146351
30,6125,0,250,250,82,482.8667649422452,27.91783268689349
31,6241,0,116,116,11,38.53506327690484,5.337669305446237
32,6491,0,250,250,53,320.578495922013,29.46237892565578
33,6741,0,250,250,169,1463.9262449823718,33.51364460182315
34,6991,0,250,250,23,70.81678069997146,8.790141028263188
35,7241,0,250,250,152,968.2344238260878,23.059157750740535
36,7491,0,250,250,191,2636.5130881501395,32.198226027383384
37,7741,0,250,250,29,153.16913586349742,11.560313682147767
38,7991,0,250,250,7,33.59187586552231,7.292502412379879
39,8241,0,250,250,36,171.56078319929475,10.80631607757018
40,8491,0,250,250,32,173.08822187089942,14.993050214200489
41,8741,0,250,250,217,1260.6524295347397,20.896151676410803
42,8832,0,91,91,23,342.36966355343105,31.27045304144358
43,8906,0,74,74,33,236.35002694220893,19.96742887449381
44,9156,0,250,250,92,876.0454367897229,30.7940300072679
45,9406,0,250,250,137,685.1252220616645,14.656337304770192
46,9656,0,250,250,105,1246.491420635671,32.34625720855983
47,9906,0,250,250,234,1874.9210327155722,32.329488792996656
48,10156,0,250,250,214,1844.3379448833027,31.572614008610426
49,10406,0,250,250,27,292.9902730735367,18.79162369911984
50,10656,0,250,250,94,264.3803149100295,8.70252202259555
51,10828,0,172,172,16,72.22925150835566,9.631120763723361
52,11078,0,250,250,37,118.84243075296068,6.428761001806759
53,11145,1,67,66,65,1572.7791913443687,33.05313470338532
54,11395,0,250,250,135,565.624694393014,15.803390588285783
55,11596,0,201,201,29,509.8805451644331,32.98626215041232
56,11846,0,250,250,20,87.0378115928064,10.426625063348247
57,12096,0,250,250,28,129.2217510252436,17.196280407618403
58,12346,0,250,250,179,422.0690931665257,18.420738756118585
59,12596,0,250,250,92,1815.2469226545602,32.264752981228554
60,12846,0,250,250,61,347.5998761550993,12.183839589999769
61,12953,0,107,107,28,647.4548987199412,32.28096306782775
62,13203,0,250,250,68,666.6011787019441,19.79737306106065
63,13453,0,250,250,49,226.6405555801207,14.731421768797933
