episode,step,reward,success,final_distance
1,250,-276.9359918340623,0,0.2968069292600932
2,500,-327.7084730137779,0,0.534009089029366
3,619,-94.77840896220266,1,0.03741935415104741
4,869,-445.32240237876994,0,1.3492535305784077
5,1119,-152.37555543940823,0,0.09161317106588839
6,1220,-54.63278354001454,1,0.03426024283719443
7,1470,-180.51361836637665,0,0.4784125729178056
8,1720,-260.68332067636607,0,0.4604210040835982
9,1850,-110.55860259102386,1,0.04646725136133854
10,2100,-166.4296935742805,0,0.3067745906091842
11,2350,-131.46153839371888,0,0.12684073808430707
12,2600,-159.97600915927242,0,0.35695593296644873
13,2850,-165.36240972067006,0,0.30804143940706935
14,3090,-104.83519906221483,1,0.04821277425035478
15,3340,-104.52572964507667,0,0.15776957855478432
16,3590,-239.13276567600653,0,0.40298131254273173
17,3840,-138.40238304309665,0,0.27949015994747933
18,4090,-263.7042344409738,0,0.8207651441822681
19,4340,-426.16317852824267,0,1.529336842867898
20,4590,-356.30112496706664,0,1.072632735506617
21,4840,-212.77452784341625,0,0.7574352590473483
22,5090,-249.88094301258207,0,0.47652134122275047
23,5152,-44.93160582788937,1,0.017429718265057
24,5402,-79.64150008458539,0,0.19194844044549744
25,5652,-206.4577896452852,0,0.6172444446630998
26,5782,-110.89841153505174,1,0.04993939232311591
27,6032,-252.8076679173615,0,0.2860244143959277
28,6282,-215.0560975304771,0,0.5498511967425836
29,6532,-156.35895347015327,0,0.18071631783314973
30,6782,-214.3981895995566,0,0.46395450147444645
31,7032,-168.58489005675162,0,0.382780051357433
32,7282,-212.5402866051348,0,0.4469488609277841
33,7532,-77.74017659894525,0,0.14878512114632822
34,7722,-74.92585400270957,1,0.04713730393386661
35,7972,-415.19077979077605,0,1.2215456799409359
36,8222,-209.8911004982082,0,0.3271964468135491
37,8472,-188.38266880659344,0,0.24837747970300364
38,8544,-54.08906115391181,1,0.0260077348313163
39,8794,-271.6188221208971,0,0.6215457423186384
40,9044,-129.1460831093626,0,0.34100991072397163
41,9294,-325.914241713448,0,0.5406236723977127
42,9544,-186.4530540408382,0,0.378532978138081
43,9794,-169.9954164134185,0,0.22386115132214007
44,10044,-115.38765280758696,0,0.4037191033752561
45,10294,-85.38638300390832,0,0.1351278078134453
46,10544,-212.63008686317028,0,0.2670461310110498
47,10794,-77.34931486142071,0,0.13170945150525656
48,11044,-120.96110481732546,0,0.1874038922896117
49,11158,-92.94845580248678,1,0.049131399802760024
50,11408,-248.21963299304716,0,0.5251653299771408
51,11658,-117.3727637704927,0,0.17558314907069497
52,11707,-29.038680667956164,1,0.04406462431203197
53,11957,-74.83298917514854,0,0.1231126844673906
54,12207,-53.511524753073594,0,0.1009062175726407
55,12457,-157.41740566966746,0,0.3761352082698073
56,12498,-10.286756485502472,1,0.04281590665424585
57,12748,-268.37935582594775,0,0.7479809473742799
58,12998,-229.82562850246197,0,0.746646985697486
59,13248,-244.58605768367798,0,0.30747242278968195
60,13498,-145.8464380081328,0,0.33211007951968363
61,13748,-251.6302955590814,0,0.41242423118617005
62,13998,-398.7713826110143,0,0.4717405049180755
63,14248,-283.25503810943525,0,0.3932813046422168
64,14389,-109.48176774850235,1,0.04818652111297422
65,14639,-63.63969330758254,0,0.1569620483403953
66,14889,-99.71801581490564,0,0.09493394642886971
67,14951,-34.81813351562881,1,0.045609800768695974
68,15116,-93.55506748523436,1,0.04921538415396585
69,15366,-142.32502693704612,0,0.32720442030051644
70,15616,-147.2111289285883,0,0.2852342263552052
71,15866,-227.72808700051132,0,0.3378208576383217
72,15940,-53.7308242079461,1,0.04699474443974851
73,16190,-173.3959791851851,0,0.2393186397146525
74,16440,-163.16773477186308,0,0.16545325280071502
75,16690,-231.40075669776027,0,0.39183505693076365
76,16793,-34.67864875585284,1,0.04835943334900934
77,16915,-103.75063188772404,1,0.049448450973793134
78,17165,-101.02350353240425,0,0.11838367375147708
79,17415,-107.72298299949419,0,0.16557545780294142
80,17665,-195.08635760607854,0,0.33422228381707536
81,17742,-724.6278310198625,0,0.5169682462883584
82,17992,-180.24533422566432,0,0.2646998000970962
83,18242,-86.73898885999806,0,0.10773263645331058
84,18412,-90.55775428222972,1,0.01961747779839733
85,18503,-83.72917600447147,1,0.0476576032575821
86,18753,-230.41817610644625,0,0.5368217123228981
87,19003,-182.21581935132292,0,0.18106032362862937
88,19253,-64.498381639563,0,0.059210554206296874
89,19503,-160.8163560258214,0,0.25234616803478854
90,19753,-239.17931250039823,0,0.4954371463729565
91,20003,-117.23349832692473,0,0.18321466265457326
92,20253,-172.2914124238178,0,0.23765286634324
93,20309,-675.5508374108559,0,1.2775683844974546
94,20386,-52.76673647907985,1,0.047374781999896955
95,20636,-103.3276406661963,0,0.12963332703532005
96,20721,-63.12192959704623,1,0.046114945727359156
97,20971,-80.76394892140068,0,0.12155946734076001
98,21221,-133.2551866809557,0,0.23144411423619923
99,21471,-77.12886766121898,0,0.10494404345295691
100,21626,-98.60876314449817,1,0.03154156697823974
101,21876,-57.50857408141674,0,0.058728839842998815
102,21925,-18.71086468367642,1,0.0496737385057841
103,22175,-173.70213007552692,0,0.29686305728158835
104,22403,-54.28288231990912,1,0.04946170278988834
105,22494,-57.126062720119215,1,0.002562756653935307
106,22744,-206.03830880739378,0,0.46648005097843587
107,22994,-150.13246879281732,0,0.34914007427258775
108,23244,-185.23854239666173,0,0.37880630711497404
109,23494,-153.36474265520394,0,0.46385807768612447
110,23744,-210.40711418288615,0,0.5564193765890594
111,23994,-181.71961555767734,0,0.2586148062067248
112,24244,-240.99310836255853,0,0.5159252258445399
113,24494,-125.25396062053535,0,0.18425381539082325
114,24744,-454.22484524205953,0,0.39492731431429356
115,24994,-65.39775323435919,0,0.2109688782823115
116,25244,-185.3040759149237,0,0.5011306941748547
117,25494,-102.21430266973422,0,0.11633965907608752
118,25744,-333.04156822517615,0,0.47205864305183165
119,25957,-48.01767200486818,1,0.04962993326705334
120,26207,-296.58344030154876,0,0.7227911010220361
121,26290,-95.92975914686942,1,0.02035693153064561
122,26540,-129.67131401381775,0,0.1981300836207037
123,26790,-134.8544361836995,0,0.39770223817857375
124,27040,-157.38931326832605,0,0.2342797711402647
125,27140,-106.21561997683364,1,0.04693386009249752
126,27390,-160.86526194013976,0,0.11694402859291572
127,27640,-90.72837548925467,0,0.20327723266748954
128,27890,-54.38946556816468,0,0.15728574236055634
129,28140,-205.58139786748237,0,0.3618265578926406
130,28390,-300.44852066745403,0,0.7356416964847026
131,28430,-619.6249769282595,0,2.3826989509810454
132,28680,-186.7208171449975,0,0.5110963455319522
133,28930,-126.85371563712711,0,0.2066194513346722
134,29180,-97.8078514832324,0,0.18087511432733427
135,29430,-207.49727284681452,0,0.29992029298338185
136,29680,-149.06283437831848,0,0.47880055798181764
137,29930,-81.93712094377064,0,0.10731179260785019
138,30180,-61.277518539142214,0,0.07734933946570037
139,30236,-14.787024414451993,1,0.04926054701400469
140,30317,-98.62046172783754,1,0.049788928035481884
141,30567,-179.8131065625662,0,0.07002214657257949
142,30817,-343.8232696377592,0,0.6025446895631743
143,31067,-159.60692164019736,0,0.5978239720789768
