episode,step,reward,success,final_distance
1,250,-107.34329593804222,0,0.268678338898008
2,500,-142.3364567579337,0,0.06799328617538984
3,750,-136.21876907772833,0,0.32679047207921536
4,1000,-262.3181141381934,0,0.5436512294339414
5,1250,-204.5377008278638,0,0.38883597493346045
6,1500,-232.90958710533533,0,0.3288067527324274
7,1577,-42.88010118668579,1,0.04705233886732957
8,1651,-79.13512972809343,1,0.038772385737135935
9,1901,-173.00069734921465,0,0.0995949670498969
10,2151,-93.82205315829562,0,0.268654058954724
11,2401,-199.91303466774542,0,0.7996227877022161
12,2513,-90.27556719104831,1,0.04728041783889407
13,2763,-225.08621326800304,0,0.6020093462484307
14,2829,-74.79645756103815,1,0.04080537244776619
15,2916,-68.65545333927305,1,0.01904252499342055
16,3166,-171.82145371891565,0,0.37624538235117205
17,3229,-86.3621709625731,1,0.03509249302524113
18,3479,-264.9292407710776,0,0.679180204168901
19,3615,-105.18838777120547,1,0.034932525797384345
20,3865,-135.5936781941045,0,0.1785676547042296
21,4115,-161.99221071083394,0,0.4785785692855285
22,4365,-232.11199722283254,0,0.5486088126485039
23,4415,-30.028723747303793,1,0.04976259649559524
24,4665,-165.7520873782512,0,0.493070408556089
25,4915,-241.0466799045935,0,0.3091062189394307
26,5055,-81.41761481489439,1,0.014984934157136816
27,5305,-291.6222343276298,0,0.6744243490747811
28,5555,-245.0178063399179,0,0.5281412534942683
29,5805,-212.4214389189361,0,0.25136388239246704
30,5889,-47.20066549568363,1,0.04335851441528522
31,6139,-250.7061658827138,0,0.9296038811867557
32,6389,-155.39456602502895,0,0.3572077729715808
33,6639,-177.30426186740075,0,0.2349567027469159
34,6746,-90.40221559887983,1,0.032265754630207664
35,6996,-108.55366241280598,0,0.31572340554128786
36,7085,-52.856931096031246,1,0.036390208592583004
37,7335,-231.83445683881797,0,0.7969936810545842
38,7585,-273.6363036537653,0,1.2384513100288925
39,7835,-197.7254340851969,0,0.3758634733989677
40,8085,-126.05187425769267,0,0.23292609745942852
41,8335,-205.7506491906998,0,0.5267646194629841
42,8530,-103.28456261948241,1,0.04946641441068565
43,8780,-121.1321445722089,0,0.13303861375863454
44,9030,-181.4510725003328,0,0.21911453397326125
45,9280,-76.90058256868082,0,0.19300324574056577
46,9530,-198.40479182699593,0,0.24311451434949036
47,9780,-209.71107791124734,0,0.7214057373158411
48,10030,-142.2968448467086,0,0.21544359027362775
49,10065,-15.507946304345541,1,0.045021874677962335
50,10315,-91.74685286851086,0,0.2596100378613681
51,10565,-117.26429688544708,0,0.24344411482013278
52,10815,-54.74928293890847,0,0.11681315030365212
53,11065,-84.54656224037997,0,0.24189064905759172
54,11315,-102.06723610944329,0,0.06679325144723267
55,11565,-194.6957374325505,0,0.2278244051024675
56,11815,-98.93788314383671,0,0.20276881108324643
57,12065,-115.93961645180256,0,0.17934198664666276
58,12118,-37.65801117599465,1,0.038916399903813556
59,12178,-18.783921901967755,1,0.012466266755197719
60,12303,-37.58415486321319,1,0.04463695195100446
61,12553,-221.10523968623218,0,0.6099565996585957
62,12803,-248.03367636930244,0,0.7631885683131873
63,13053,-72.37033368763184,0,0.2031950967438528
64,13303,-139.8082926721619,0,0.23397323318070823
65,13553,-161.00777193905282,0,0.2666158920364683
66,13803,-130.19965910427337,0,0.21988473952780113
67,13875,-75.79890878179958,1,0.049319768169431524
68,13997,-139.68445222702044,1,0.021548445127259317
69,14042,-21.337071884566917,1,0.03007834502201466
70,14292,-62.92153923439325,0,0.07924661531318375
71,14335,-39.106647122616764,1,0.03697198873933858
72,14585,-137.5938701791544,0,0.2409526326074046
73,14835,-160.3096396887191,0,0.11235902026352683
74,15085,-210.2809589323419,0,0.22617655333460174
75,15335,-71.73633228446369,0,0.23930662754201373
76,15585,-159.25949210247026,0,0.3889146340245014
77,15655,-27.805498758919406,1,0.04022097626337243
78,15905,-114.79498892972967,0,0.17409077612399879
79,15944,-19.99926248929276,1,0.013221156673434415
80,16033,-74.73771448174634,1,0.04868753403445809
81,16283,-153.5940730153778,0,0.14608262073690031
82,16533,-140.43671345610107,0,0.1303330125843216
83,16783,-179.29286342314595,0,0.3083060337908589
84,16824,-21.0601415133573,1,0.031006432124831965
85,17074,-148.0729015909383,0,0.21678193166197934
86,17324,-121.5485272616429,0,0.16126572738882514
87,17574,-82.36192908462647,0,0.0890807741871942
88,17674,-121.78136010243458,1,0.03133630557771884
89,17747,-92.56146435936036,1,0.019201222764883563
90,17997,-165.2467133651271,0,0.06556787049020578
91,18247,-75.51699364297617,0,0.12421814178711525
92,18497,-87.38712094215843,0,0.15911039552593217
93,18747,-222.12452750050397,0,0.6679708533360599
94,18897,-101.65787550406084,1,0.04867017133098579
95,19147,-135.0235519778829,0,0.27422362748483886
96,19397,-91.49832432488697,0,0.0646367294957624
97,19647,-121.1293456906431,0,0.11704188489336886
98,19743,-107.10885530394728,1,0.015240052542832831
99,19852,-164.57918400379216,1,0.02402621745958267
100,20102,-205.7147302044128,0,0.282236214372479
101,20352,-155.21447990037603,0,0.22916939596693586
102,20474,-110.76956132635935,1,0.04822210515331548
103,20724,-122.36248000386844,0,0.14326031973345926
104,20974,-190.89515493771626,0,0.13114663012878955
105,21224,-74.05872368623189,0,0.07206191055662456
106,21474,-171.05155031890544,0,0.5392981588347388
107,21724,-219.39276198726287,0,0.5626213840427201
108,21974,-66.15456262552921,0,0.1743922724726801
109,22074,-77.2058784011642,1,0.04128651485365295
110,22141,-49.29870854602743,1,0.04941100360598799
111,22391,-175.5660197392328,0,0.3166098702662102
112,22641,-79.80558497725112,0,0.15140040025579188
113,22732,-107.18590783499928,1,0.03189647335452094
114,22982,-171.1702226373019,0,0.3383690994731475
115,23141,-152.03674369333856,1,0.04235352829589153
116,23215,-40.8751313340983,1,0.049586768971031175
117,23465,-154.4214573387418,0,0.22618026687284076
118,23715,-274.5057295374901,0,0.3438584996545828
119,23744,-4.9727818515267135,1,0.032852717419281204
120,23994,-99.97617494596726,0,0.1559155701544066
121,24244,-184.39937479505838,0,0.10330574541559058
122,24494,-176.48014741137445,0,0.2630448759582949
123,24567,-67.47883730311324,1,0.049450618947293766
124,24817,-131.55313908858196,0,0.25896563271123657
125,25067,-198.45254304037786,0,0.07521703001291195
126,25317,-136.5714510623869,0,0.3464876861223655
127,25567,-101.18317330170919,0,0.18114068202902509
128,25676,-66.01771837376091,1,0.035351487492428266
129,25926,-122.57821885032952,0,0.07224494757832046
130,26041,-151.35644505746595,1,0.04741285712806039
131,26091,-34.328538139232464,1,0.0494399389637883
132,26341,-70.41081411652479,0,0.11356941607520393
133,26430,-36.712757649275844,1,0.049072464198729876
134,26680,-91.04922160965668,0,0.1154592990682892
135,26888,-55.20300984655994,1,0.04888509464455694
136,26945,-27.08156331097493,1,0.03952425885778163
137,27034,-78.6228463277605,1,0.04622220351027032
138,27284,-306.82114113844415,0,0.4553189706635957
139,27359,-82.82251522499561,1,0.04792641215512234
140,27401,-12.778625400334839,1,0.04913241254046344
141,27651,-113.2782699022659,0,0.1316019615592225
142,27901,-128.095635501547,0,0.36627937191435816
143,28151,-143.86074461747333,0,0.25906717243038446
144,28401,-68.07068050976461,0,0.09231507640532383
145,28450,-25.693621601054442,1,0.0486960993852699
146,28700,-102.58944917100676,0,0.1938088729968646
147,28779,-30.674895624846876,1,0.037328161772542084
148,29029,-177.35897713401081,0,0.15571247158579155
149,29279,-138.72720146707118,0,0.06209536702508561
150,29529,-107.12458362604359,0,0.2769710039631187
151,29779,-134.14272844049563,0,0.13616511152434954
152,29849,-124.30354108308978,1,0.016226312163987223
153,30099,-160.57193967115344,0,0.2353349090891291
154,30249,-73.49853881275448,1,0.04940517902407339
155,30499,-154.57965181860064,0,0.12256397852025025
156,30749,-81.10291661537057,0,0.1845569557010566
157,30787,-20.953758329936456,1,0.04924339174304775
158,31037,-99.50601757906874,0,0.13652425027682416
159,31287,-286.81523772395053,0,1.0763087361303165
160,31329,-18.238284808493646,1,0.03380884728807991
161,31579,-147.9529264978406,0,0.10084676047720578
162,31829,-77.2072267668849,0,0.12366116056200936
163,32079,-99.53593932461268,0,0.22045128094030284
164,32329,-226.34928729935115,0,0.6866938367755142
165,32412,-116.19914299450343,1,0.04776002275235695
166,32662,-103.33680964415919,0,0.23410698813194186
167,32783,-93.99791833784903,1,0.04949427032002167
168,32836,-36.88245818975939,1,0.03009040007380907
169,33086,-113.26631045504656,0,0.27755782027398296
170,33336,-193.4337556101779,0,0.3769975793252443
